budget,run_name,batch_size,lr,d_model,depth,params,non_embedding_params,computed_steps,samples_seen,flops_seen,loss_ema,final_loss,runtime_sec,wandb_url
1e13,lrbs-1e13-b128-lr3e-4,128,0.0003,64,2,678342,98432,18130,2320640,10000422136320.0,4.861027264165719,6.107413291931152,200.44696088,https://wandb.ai/maxence-frenette/chess-engine-4/runs/84saroq9
1e13,lrbs-1e13-b128-lr1e-3,128,0.001,64,2,678342,98432,18130,2320640,10000422136320.0,4.842785354998332,6.100905895233154,197.957105531,https://wandb.ai/maxence-frenette/chess-engine-4/runs/9mcnmq0z
1e13,lrbs-1e13-b128-lr3e-3,128,0.003,64,2,678342,98432,18130,2320640,10000422136320.0,4.871406811210799,6.128366947174072,184.746983595,https://wandb.ai/maxence-frenette/chess-engine-4/runs/b261oqjc
1e13,lrbs-1e13-b192-lr3e-4,192,0.0003,64,2,678342,98432,12087,2320704,10000697933952.0,4.876216256983224,5.516953468322754,155.877175933,https://wandb.ai/maxence-frenette/chess-engine-4/runs/pjpyfcd3
1e13,lrbs-1e13-b192-lr1e-3,192,0.001,64,2,678342,98432,12087,2320704,10000697933952.0,4.842133453085819,5.594171047210693,149.77887032,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ilkvziij
1e13,lrbs-1e13-b192-lr3e-3,192,0.003,64,2,678342,98432,12087,2320704,10000697933952.0,4.865259354494869,5.646617889404297,157.506298053,https://wandb.ai/maxence-frenette/chess-engine-4/runs/855ce22b
1e13,lrbs-1e13-b256-lr3e-4,256,0.0003,64,2,678342,98432,9065,2320640,10000422136320.0,4.894535852343736,5.721861839294434,137.119880439,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5bngw2d1
1e13,lrbs-1e13-b256-lr1e-3,256,0.001,64,2,678342,98432,9065,2320640,10000422136320.0,4.845472482331676,5.828507423400879,142.183661261,https://wandb.ai/maxence-frenette/chess-engine-4/runs/03r7wwgy
1e13,lrbs-1e13-b256-lr3e-3,256,0.003,64,2,678342,98432,9065,2320640,10000422136320.0,4.867691585683521,5.898735523223877,131.8973472,https://wandb.ai/maxence-frenette/chess-engine-4/runs/po26iarx
1e13,lrbs-1e13-b384-lr3e-4,384,0.0003,64,2,678342,98432,6044,2320896,10001525326848.0,4.945292745170581,5.143099784851074,111.991189781,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fqluiar3
1e13,lrbs-1e13-b384-lr1e-3,384,0.001,64,2,678342,98432,6044,2320896,10001525326848.0,4.849777516707938,5.132538795471191,123.038390754,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4lefk6ft
1e13,lrbs-1e13-b384-lr3e-3,384,0.003,64,2,678342,98432,6044,2320896,10001525326848.0,4.855045681015267,5.218372344970703,120.55768289,https://wandb.ai/maxence-frenette/chess-engine-4/runs/eka3vz5u
1e13,lrbs-1e13-b512-lr3e-4,512,0.0003,64,2,678342,98432,4533,2320896,10001525326848.0,5.042048280288523,5.159674167633057,103.030669643,https://wandb.ai/maxence-frenette/chess-engine-4/runs/kw1hy53e
1e13,lrbs-1e13-b512-lr1e-3,512,0.001,64,2,678342,98432,4533,2320896,10001525326848.0,4.859977061478625,5.244417190551758,106.846734333,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ru6d000d
1e13,lrbs-1e13-b512-lr3e-3,512,0.003,64,2,678342,98432,4533,2320896,10001525326848.0,4.853416149694391,5.294605255126953,108.762986598,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qwgb7p27
1e13,lrbs-1e13-b768-lr3e-4,768,0.0003,64,2,678342,98432,3022,2320896,10001525326848.0,5.385948677308576,5.075492858886719,95.143508549,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fllfzd44
1e13,lrbs-1e13-b768-lr1e-3,768,0.001,64,2,678342,98432,3022,2320896,10001525326848.0,4.8749956150972675,5.440310478210449,94.469697848,https://wandb.ai/maxence-frenette/chess-engine-4/runs/j9smseef
1e13,lrbs-1e13-b768-lr3e-3,768,0.003,64,2,678342,98432,3022,2320896,10001525326848.0,4.85883360839906,5.501035690307617,102.707275607,https://wandb.ai/maxence-frenette/chess-engine-4/runs/02pisn7f
