budget,run_name,d_model,depth,params,non_embedding_params,batch_size,lr,computed_steps,samples_seen,flops_seen,final_loss,wandb_url,state,loss_tail_mean,policy_top1_tail_mean,loss_tail_count,policy_top1_tail_count
1e13,shape2-1e13-d32x1,32,1,303206,12320,192,0.001,26883,5161536,10000269538560,4.951050281524658,https://wandb.ai/maxence-frenette/chess-engine-4/runs/2zi5hubr,finished,4.8036969590187075,0.22437500663101673,100,100
1e13,shape2-1e13-d48x1,48,1,463094,27696,192,0.001,17616,3382272,10000397445120,4.960929870605469,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fn34qq8s,finished,4.727134048938751,0.2202083384990692,100,100
1e13,shape2-1e13-d64x1,64,1,629126,49216,192,0.001,12980,2492160,10000599459840,5.254940032958984,https://wandb.ai/maxence-frenette/chess-engine-4/runs/cbfw9rbp,finished,4.87146082162857,0.22838542349636554,100,100
1e13,shape2-1e13-d96x1,96,1,979622,110688,192,0.001,8353,1603776,10000576191744,4.1148786544799805,https://wandb.ai/maxence-frenette/chess-engine-4/runs/oeyh5t6d,finished,4.931789679527283,0.20312500588595866,100,100
1e13,shape2-1e13-d48x2,48,2,490790,55392,192,0.001,16674,3201408,10000558310400,5.189362049102783,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qfyjy6lz,finished,4.789777731895446,0.22078125569969415,100,100
1e13,shape2-1e13-d64x2,64,2,678342,98432,192,0.001,12087,2320704,10000697933952,5.594171047210693,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ocnbu3pa,finished,4.8602030873298645,0.2192708394676447,100,100
1e13,shape2-1e13-d80x2,80,2,878182,153760,192,0.001,9354,1795968,10001034588672,5.201962471008301,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wwf0m3db,finished,4.92445634841919,0.2186458396911621,100,100
1e13,shape2-1e13-d96x2,96,2,1090310,221376,192,0.001,7547,1449024,10000581140352,3.629546880722046,https://wandb.ai/maxence-frenette/chess-engine-4/runs/n3csev4f,finished,5.014427995681762,0.1964062564074993,100,100
1e13,shape2-1e13-d64x3,64,3,727558,147648,192,0.001,11309,2171328,10000815411456,4.7722368240356445,https://wandb.ai/maxence-frenette/chess-engine-4/runs/8dessdha,finished,4.860934057235718,0.21421875551342964,100,100
1e13,shape2-1e13-d96x3,96,3,1200998,332064,192,0.001,6883,1321536,10000792399872,5.515589714050293,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4vc1znjv,finished,4.916267693042755,0.2006250061839819,100,100
1e14,shape2-1e14-d96x2,96,2,1090310,221376,256,0.001,56600,14489600,100001394380800,4.689960479736328,https://wandb.ai/maxence-frenette/chess-engine-4/runs/q6724yl8,finished,4.506518130302429,0.2866796875,100,100
