budget,wave,run_name,wandb_url,shape,d_model,depth,params,steps,samples_seen,flops_seen,compute_seen,final_loss,loss,policy_top1,tail_count,runtime_sec
1e14,shape,shape-1e14-d32x1-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qztrcwzl,d32x1,32,1,303206,33463,6424896,12447979004160.0,100002722109647.23,3.9809296131134033,4.645473642349243,0.2269791726022959,100,459.696297773
1e14,shape,shape-1e14-d40x1-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ju53m7ba,d40x1,40,1,382382,27589,5297088,12938015606976.0,100003422281588.2,5.367575645446777,4.940590035915375,0.22901042319834233,100,311.886084137
1e14,shape,shape-1e14-d48x1-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/tjbz4djv,d48x1,48,1,463094,23528,4517376,13356570792960.0,100002756842629.95,4.6944580078125,4.80239999294281,0.23500000640749932,100,295.98794985
1e14,shape,shape-1e14-d48x2-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ru492dit,d48x2,48,2,490790,22474,4315008,13479221990400.0,100000207488047.05,4.359200954437256,4.716201350688935,0.2377604243904352,100,285.987741342
1e14,shape,shape-1e14-d56x1-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/9zxzefbh,d56x1,56,1,545342,20540,3943680,13724633445120.0,100004799180385.94,4.743984222412109,4.777999002933502,0.23218750648200512,100,222.254569206
1e15,shape,shape-1e15-d80x3-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/bpwyq4u1,d80x3,80,3,955062,39078,20007936,120675985238016.0,1000016852620080.0,4.712422847747803,4.4383556532859805,0.29517578125,100,891.83555056
1e15,shape,shape-1e15-d96x2-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5yizivr3,d96x2,96,2,1090310,34927,17882624,123418682033152.0,1000030305210159.4,3.853522062301636,4.490646133422851,0.29794921875,100,787.218592532
1e15,shape,shape-1e15-d96x3-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/d1b8zzh2,d96x3,96,3,1200998,32346,16561152,125327378939904.0,1000023195357824.8,3.8534977436065674,4.467398567199707,0.3064453125,100,752.750407224
1e15,shape,shape-1e15-d96x4-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lqegy4cl,d96x4,96,4,1311686,30151,15437312,127103200975872.0,1000038758171400.8,4.336301803588867,4.495148093700409,0.29623046875,100,736.234485026
1e15,shape,shape-1e15-d112x2-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/xwzgh19p,d112x2,112,2,1314726,29924,15321088,127292501852160.0,1000015546168752.4,3.8585634231567383,4.494654295444488,0.29166015625,100,773.847838464
1e15,shape,shape-1e15-d112x3-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/c7ugbjkx,d112x3,112,3,1465366,27451,14054912,129506035092480.0,1000003779338766.8,4.799872398376465,4.468608767986297,0.30189453125,100,635.868820856
1e15,shape,shape-1e15-d128x2-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/y9lwd1fh,d128x2,128,2,1551430,26102,13364224,130819314964480.0,1000015260925226.4,4.70234489440918,4.501173679828644,0.30228515625,100,600.640707969
1e15,shape,shape-1e15-d128x3-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/u00pqi2a,d128x3,128,3,1748166,23735,12152320,133330637158400.0,1000017964299721.2,3.755693197250366,4.49073477268219,0.2965234375,100,597.164884267
1e16,shape,shape-1e16-d160x4-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/kyhopniv,d160x4,160,4,2676422,64058,65595392,1093164131291136.0,1.00000011118127e+16,4.267875671386719,4.242111802101135,0.34830078125,100,3806.846508769
