budget,run_name,wandb_url,compute,d_model,depth,num_heads,batch_size,lr,params,samples_seen,loss,policy_top1,tail_count,runtime_sec
1e14,t64shape-1e14-d48x1-b256,https://wandb.ai/maxence-frenette/chess-engine-4/runs/9x225o9e,100035056545674.86,48,1,4,256,0.000866,52948,861696,4.095173876285553,0.2399609375,100,71.918951426
1e14,t64shape-1e14-d48x2-b256,https://wandb.ai/maxence-frenette/chess-engine-4/runs/bnjihcii,100030218678667.72,48,2,4,256,0.000866,89908,545792,4.539687392711639,0.2310546875,100,55.588101466
1e14,t64shape-1e14-d64x1-b384,https://wandb.ai/maxence-frenette/chess-engine-4/runs/km79n4ll,100044010914248.89,64,1,4,384,0.000707,90052,599424,5.120590403079986,0.23421875685453414,100,43.483243408
1e14,t64shape-1e14-d80x1-b384,https://wandb.ai/maxence-frenette/chess-engine-4/runs/z7a01gnh,100076850584156.19,80,1,4,384,0.000707,136884,426240,5.702003262042999,0.22929688140749932,100,36.037834474
1e15,t64shape-1e15-d64x2-b512,https://wandb.ai/maxence-frenette/chess-engine-4/runs/50whbnt6,1000227087117600.8,64,2,4,512,0.000707,155716,2694656,3.9462722969055175,0.25998046875,100,247.207723308
1e15,t64shape-1e15-d80x2-b512,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6pakly9w,1000069192713937.2,80,2,4,512,0.000707,239444,1906688,3.9852495574951172,0.248515625,100,214.912694294
1e15,t64shape-1e15-d80x2-b768,https://wandb.ai/maxence-frenette/chess-engine-4/runs/amerfaf7,1000413552753194.2,80,2,4,768,0.000577,239444,2040576,4.117345070838928,0.2456770905852318,100,220.902937735
1e15,t64shape-1e15-d96x2-b768,https://wandb.ai/maxence-frenette/chess-engine-4/runs/8k7h26ew,1000379144494829.8,96,2,4,768,0.000577,341092,1532928,4.38308436870575,0.2394401104748249,100,183.903916084
1e15,t64shape-1e15-d96x2-b1024,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vogw1j46,1000742037924575.9,96,2,4,1024,0.0005,341092,1608704,5.068775501251221,0.239091796875,100,197.840984943
1e16,t64shape-1e16-d80x3-b1536,https://wandb.ai/maxence-frenette/chess-engine-4/runs/81kcb2jv,1.0001036128820148e+16,80,3,4,1536,0.000245,342004,11581440,3.7576623725891114,0.2743815194070339,100,1760.519534943
1e16,t64shape-1e16-d80x4-b1536,https://wandb.ai/maxence-frenette/chess-engine-4/runs/kgs0idgh,1.0001020571329014e+16,80,4,4,1536,0.000245,444564,9303552,3.8329022312164307,0.2748112066090107,100,1625.066409686
1e16,t64shape-1e16-d96x3-b1536,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qwo3z3yk,1.0000653386736246e+16,96,3,4,1536,0.000245,488740,8689152,3.7961640977859497,0.2803711047768593,100,1423.137315096
1e16,t64shape-1e16-d128x2-b2048,https://wandb.ai/maxence-frenette/chess-engine-4/runs/2yfn46wj,1.0001934629953842e+16,128,2,4,2048,0.000212,598148,7788544,4.093474004268646,0.2623486328125,100,1160.191681984
