budget,status,run_name,wandb_url,shape,batch_size,lr,router_aux,params,planned_steps,samples_seen,compute_seen,loss,policy_top1,tail_count,runtime_sec,notes
1e14,finished,moe16a2-shape-1e14-d24x1-b512-lr6.1e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/e8tlqogk,d24x1,512,0.00061,0.001,274286,18878,9665536,1.0000103216884838e14,3.965738501548767,0.22318359375,100,354.263360445,
1e14,finished,moe16a2-shape-1e14-d32x1-b512-lr6.1e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/nt5yfokj,d32x1,512,0.00061,0.001,389670,14757,7555584,1.0000352713517002e14,3.9370960879325865,0.224296875,100,268.842687662,
1e14,finished,moe16a2-shape-1e14-d40x1-b768-lr5e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4kuh6b6g,d40x1,768,0.0005,0.001,517342,8678,6664704,1.0000038492772516e14,4.203259966373444,0.2222005258500576,100,217.899057555,
1e14,finished,moe16a2-shape-1e14-d48x1-b1024-lr4.3e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/p3f6s8mb,d48x1,1024,0.00043,0.001,657302,5824,5963776,1.000167950282869e14,4.711685910224914,0.217802734375,100,162.31467049,
1e14,failed,moe16a2-shape-1e14-d20x1-b512-lr6.1e-4-aux1e-3,,d20x1,512,0.00061,0.001,,,,,,,0,,d_model not 16-byte aligned for grouped_mm bf16 stride
1e15,finished,moe16a2-shape-1e15-d48x2-b1024-lr5e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/kpq91xhm,d48x2,1024,0.0005,0.001,879254,37850,38758400,1.000008900332938e15,3.653418242931366,0.294873046875,100,1275.112827932,
1e15,finished,moe16a2-shape-1e15-d64x2-b1024-lr5e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/977dsu13,d64x2,1024,0.0005,0.001,1368326,28952,29646848,1.0000409719393824e15,3.593990409374237,0.299873046875,100,996.085115293,best 1e15 tail loss
1e15,finished,moe16a2-shape-1e15-d80x2-b1536-lr4.08e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3vtgwrno,d80x2,1536,0.000408,0.001,1955702,16680,25620480,1.0000493239580168e15,3.6144335985183718,0.2995768338441849,100,924.029670795,
1e15,finished,moe16a2-shape-1e15-d64x3-b1536-lr4.08e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/hsrjvwxt,d64x3,1536,0.000408,0.001,1762566,19517,29978112,1.0000446229207848e15,3.618707242012024,0.3010351660847664,100,1152.119665478,
1e15,finished,moe16a2-shape-1e15-d40x2-b1024-lr5e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ifhxaty9,d40x2,1024,0.0005,0.001,671582,44696,45768704,1.0000144045156812e15,3.642022614479065,0.278642578125,100,1494.474964147,
1e15,finished,moe16a2-shape-1e15-d48x1-b1024-lr5e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ssn3dly0,d48x1,1024,0.0005,0.001,657302,39673,40625152,1.0000030967951438e15,3.650615141391754,0.288662109375,100,1172.523474904,
1e16,partial,moe16a2-shape-1e16-d96x4-b4096-lr1.5e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/z40swcyl,d96x4,4096,0.00015,0.001,4413926,36170,130293760,8.571538780655164e15,3.440862159729004,0.33876708984375,100,6432.793615727,stopped before full compute
1e16,partial,moe16a2-shape-1e16-d128x4-b4096-lr1.5e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lwfxsl5d,d128x4,4096,0.00015,0.001,7457478,26156,43827200,3.4213276337642625e15,3.6685262799263,0.305673828125,100,2807.176413165,stopped before full compute
