budget,phase,run_name,wandb_url,batch_size,lr,router_aux,loss,policy_top1,tail_count,runtime_sec,notes
1e14,aux,mlp-moe16a2-baseline-1e14,https://wandb.ai/maxence-frenette/chess-engine-4/runs/bky4e3br,192,0.001,0.01,3.904835031032562,0.23281250603497028,100,411.333566878,existing baseline
1e14,aux,moe16a2-aux-1e14-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fcxd9sia,192,0.001,0.001,3.8940691637992857,0.2334895894676447,100,487.838822424,
1e14,aux,moe16a2-aux-1e14-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/05ho9bau,192,0.001,0.003,3.893790054321289,0.23463542304933072,100,387.66019141,best aux
1e14,aux,moe16a2-aux-1e14-a3e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0atrpzic,192,0.001,0.03,3.9263917589187622,0.23328125767409802,100,420.82726436,
1e14,grid,moe16a2-grid-1e14-b192-lr1.2e-3-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/cf6aet1w,192,0.0012,0.003,3.8919358611106873,0.23651042327284813,100,373.65681396,
1e14,grid,moe16a2-grid-1e14-b192-lr8e-4-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qvouhuwx,192,0.0008,0.003,3.8898313736915586,0.23145833879709243,100,456.968175131,
1e14,grid,moe16a2-grid-1e14-b384-lr1.2e-3-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wi09zzrv,384,0.0012,0.003,3.8881161189079285,0.24421875879168511,100,285.675644965,
1e14,grid,moe16a2-grid-1e14-b384-lr1e-3-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/l8ueaoxe,384,0.001,0.003,3.8898630356788635,0.24229167334735394,100,283.688476425,
1e14,grid,moe16a2-grid-1e14-b512-lr1.2e-3-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/2587edld,512,0.0012,0.003,3.904821698665619,0.23509765625,100,288.379186931,
1e14,grid,moe16a2-grid-1e14-b512-lr1e-3-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mo0y9p9h,512,0.001,0.003,3.9076427245140075,0.23154296875,100,295.227055668,
1e14,grid2,moe16a2-grid2-1e14-b384-lr1.5e-3-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/gk59y0h5,384,0.0015,0.003,3.886732823848724,0.24432292446494103,100,282.594700998,
1e14,grid2,moe16a2-grid2-1e14-b384-lr2e-3-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/chhj4xnd,384,0.002,0.003,3.8847248578071594,0.2452604255080223,100,297.226271161,best 1e14
1e14,grid2,moe16a2-grid2-1e14-b256-lr1.5e-3-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jm3adxrm,256,0.0015,0.003,3.946077756881714,0.24265625,100,336.340653426,
1e15,aux,moe16a2-shape-1e15-d64x2-b1024-lr5e-4-aux1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/977dsu13,1024,0.0005,0.001,3.593990409374237,0.299873046875,100,996.085115293,existing baseline
1e15,aux,moe16a2-aux-1e15-a3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wnkabbt2,1024,0.0005,0.003,3.6008297610282898,0.29927734375,100,1009.572063577,
1e15,aux,moe16a2-aux-1e15-a1e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/al1i5m92,1024,0.0005,0.01,3.6061007714271547,0.303173828125,100,959.898777218,
1e15,aux,moe16a2-aux-1e15-a3e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ae2ux7mc,1024,0.0005,0.03,3.6265482878685,0.29984375,100,944.930054611,
1e15,grid,moe16a2-grid-1e15-b512-lr7e-4-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/i8s7c3y1,512,0.0007,0.001,3.6116268682479857,0.30521484375,100,1194.060695233,
1e15,grid,moe16a2-grid-1e15-b512-lr5e-4-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ib9sbz9x,512,0.0005,0.001,3.613141882419586,0.303671875,100,1169.469071192,
1e15,grid,moe16a2-grid-1e15-b1024-lr7e-4-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/c38d96px,1024,0.0007,0.001,3.5860107350349426,0.302880859375,100,1030.077998603,
1e15,grid,moe16a2-grid-1e15-b1024-lr3.5e-4-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4l6snkga,1024,0.00035,0.001,3.6162983894348146,0.29453125,100,1021.970538495,
1e15,grid,moe16a2-grid-1e15-b1536-lr5e-4-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0q6uza85,1536,0.0005,0.001,3.6314909410476686,0.3022526137530804,100,1533.281971506,
1e15,grid,moe16a2-grid-1e15-b1536-lr3.5e-4-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/2mueeczu,1536,0.00035,0.001,3.656666703224182,0.29743490532040595,100,2099.032093982,
1e15,grid,moe16a2-grid-1e15-b2048-lr3.5e-4-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jkxaxxef,2048,0.00035,0.001,3.66586097240448,0.2918994140625,100,1228.943860931,
1e15,grid,moe16a2-grid-1e15-b2048-lr2.5e-4-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vkyes2id,2048,0.00025,0.001,3.712005498409271,0.2821630859375,100,2107.91408893,
1e15,grid2,moe16a2-grid2-1e15-b1024-lr8.5e-4-a1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wtp9t8mt,1024,0.00085,0.001,3.582975640296936,0.3023828125,100,947.134116589,best 1e15
