phase,run_name,wandb_url,d_model,depth,batch_size,lr,params,steps,samples_seen,loss,policy_top1,router_loss,eligible,runtime_sec,notes
shape,moe16a2-k15-shape-1e15-d24x1,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vjym7p0v,24,1,384,0.002,274286,14816,5689344,3.995635913136571,0.2247418946333717,1.280911207199097,true,254.384291083,
shape,moe16a2-k15-shape-1e15-d32x1,https://wandb.ai/maxence-frenette/chess-engine-4/runs/hb4t945k,32,1,384,0.002,389670,12166,4671744,3.947658253455785,0.2270793768495418,1.2120964527130127,true,212.320847134,
shape,moe16a2-k15-shape-1e15-d40x1,https://wandb.ai/maxence-frenette/chess-engine-4/runs/edx243z4,40,1,384,0.002,517342,10426,4003584,3.97707875730709,0.2208412663190112,1.2447187900543213,true,155.682329186,
shape,moe16a2-k15-shape-1e15-d48x1,https://wandb.ai/maxence-frenette/chess-engine-4/runs/m0g8f6h9,48,1,384,0.002,657302,9179,3524736,3.992288335474844,0.22392546397726376,1.2530280351638794,true,136.534789055,
shape,moe16a2-k15-shape-1e15-d64x1,https://wandb.ai/maxence-frenette/chess-engine-4/runs/r55b6gmp,64,1,384,0.002,974086,7488,2875392,4.016046360691095,0.224206579302372,1.4031838178634644,true,161.287838691,
shape,moe16a2-k15-shape-1e15-d32x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dihn3lld,32,2,384,0.002,488486,11852,4551168,3.943969156111374,0.22426673059606145,1.3211992979049685,true,253.907774819,best eligible
shape,moe16a2-k15-shape-1e15-d40x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/o0c3gezy,40,2,384,0.002,671582,10097,3877248,3.975580174770564,0.22160295531110472,1.447165608406067,true,200.280360693,
shape,moe16a2-k15-shape-1e15-d48x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/p4oe6ujf,48,2,384,0.002,879254,8840,3394560,3.9949728447978594,0.2284444838052052,1.2142174243927002,true,167.382276646,
grid,moe16a2-k15-grid-1e15-d32x2-b256-lr1.5e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/khe5mkc0,32,2,256,0.0015,488486,15530,3975680,3.979305679658146,0.21616028309179444,1.2253925800323486,true,253.657936762,
grid,moe16a2-k15-grid-1e15-d32x2-b256-lr2e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/u8k914zf,32,2,256,0.002,488486,15530,3975680,3.9801203553077618,0.2172364004834473,1.3082528114318848,true,253.788021737,
grid,moe16a2-k15-grid-1e15-d32x2-b256-lr2.5e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/v7xek7ed,32,2,256,0.0025,488486,15530,3975680,3.981178491907159,0.21713659953591655,1.3480807542800903,true,295.245937272,
grid,moe16a2-k15-grid-1e15-d32x2-b384-lr1.5e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qimh4nee,32,2,384,0.0015,488486,11852,4551168,3.946530316599045,0.22064630729185233,1.2681477069854736,true,234.107121094,
grid,moe16a2-k15-shape-1e15-d32x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dihn3lld,32,2,384,0.002,488486,11852,4551168,3.943969156111374,0.22426673059606145,1.3211992979049685,true,253.907774819,best eligible
grid,moe16a2-k15-grid-1e15-d32x2-b384-lr2.5e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/uxe3hy3w,32,2,384,0.0025,488486,11852,4551168,3.9301001260619386,0.2242976729918608,1.6317811012268066,true,227.826650187,best selected
grid,moe16a2-k15-grid-1e15-d32x2-b512-lr1.5e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/o0b1w3nz,32,2,512,0.0015,488486,9783,5008896,3.989901095228921,0.22098483037836444,1.2066508531570437,true,249.357570833,
grid,moe16a2-k15-grid-1e15-d32x2-b512-lr2e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/s6vgn3cq,32,2,512,0.002,488486,9783,5008896,3.9787178953597384,0.22359752092993737,1.1934332847595217,true,248.93518805,
grid,moe16a2-k15-grid-1e15-d32x2-b512-lr2.5e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/9fxyd0x8,32,2,512,0.0025,488486,9783,5008896,3.973112591111851,0.22422268770934117,1.30383038520813,true,243.175585395,
