phase,run_name,wandb_url,d_model,depth,batch_size,lr,params,steps,samples_seen,loss,policy_top1,router_loss,runtime_sec,notes
shape,moe16a2-k15-shape-1e16-d48x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dun8d7vv,48,2,1024,0.00085,879254,21337,21849088,3.6847394591718734,0.2844663567043412,1.2037413120269775,718.517244804,
shape,moe16a2-k15-shape-1e16-d64x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/2nuluirt,64,2,1024,0.00085,1368326,17219,17632256,3.6704486368715137,0.29197629871280933,1.2453391551971436,837.935707427,
shape,moe16a2-k15-shape-1e16-d80x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mpwdmyib,80,2,1024,0.00085,1955702,14515,14863360,3.666963686630997,0.29270349747734753,1.4917552471160889,538.104395975,
shape,moe16a2-k15-shape-1e16-d96x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/n78d5vvt,96,2,1024,0.00085,2641382,12581,12882944,3.715829750195774,0.2877399254574438,1.5432863235473633,404.834365045,
shape,moe16a2-k15-shape-1e16-d64x3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5un19eth,64,3,1024,0.00085,1762566,16459,16854016,3.6627533080187953,0.2964998289385353,1.347733497619629,941.69430424,best shape
shape,moe16a2-k15-shape-1e16-d80x3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/q2p1h5hc,80,3,1024,0.00085,2571382,13752,14082048,3.677152802456792,0.29135430596977935,1.5825538635253906,503.589064295,
shape,moe16a2-k15-shape-1e16-d96x3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ecd2jine,96,3,1024,0.00085,3527654,11823,12106752,3.709464478754816,0.2871781822450942,1.707310914993286,508.619261095,
shape,moe16a2-k15-shape-1e16-d128x3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3lztdnn2,128,3,1024,0.00085,5882566,9232,9453568,3.741281688896636,0.2819291487409827,1.7814782857894895,398.148712198,
grid,moe16a2-k15-grid-1e16-d64x3-b768-lr7e-4,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wbc909b6,64,3,768,0.0007,1762566,19938,15312384,3.6990054488065383,0.2920389874546266,1.4817211627960205,649.028453247,
grid,moe16a2-k15-grid-1e16-d64x3-b768-lr8.5e-4,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3w9z2ri4,64,3,768,0.00085,1762566,19938,15312384,3.692407469225689,0.2922470104980181,1.4466221332550049,958.1767533,
grid,moe16a2-k15-grid-1e16-d64x3-b768-lr1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/f1cuy3yb,64,3,768,0.001,1762566,19938,15312384,3.694283446824972,0.2925205880095784,1.3250497579574585,626.408075948,
grid,moe16a2-k15-grid-1e16-d64x3-b1024-lr7e-4,https://wandb.ai/maxence-frenette/chess-engine-4/runs/sfwpfusj,64,3,1024,0.0007,1762566,16459,16854016,3.674384300086494,0.29406834561306655,1.351909637451172,610.715785017,
grid,moe16a2-k15-shape-1e16-d64x3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5un19eth,64,3,1024,0.00085,1762566,16459,16854016,3.6627533080187953,0.2964998289385353,1.347733497619629,941.69430424,
grid,moe16a2-k15-grid-1e16-d64x3-b1024-lr1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/di8e20qf,64,3,1024,0.001,1762566,16459,16854016,3.661885114375032,0.2941770349266553,1.3868011236190796,680.213320609,
grid,moe16a2-k15-grid-1e16-d64x3-b1536-lr7e-4,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qsf4ua3d,64,3,1536,0.0007,1762566,12560,19292160,3.6677960677487937,0.2902689470720362,1.331002712249756,740.028052803,
grid,moe16a2-k15-grid-1e16-d64x3-b1536-lr8.5e-4,https://wandb.ai/maxence-frenette/chess-engine-4/runs/u2asyoqv,64,3,1536,0.00085,1762566,12560,19292160,3.661759439547963,0.2915304096000934,1.3551324605941772,762.483168165,
grid,moe16a2-k15-grid-1e16-d64x3-b1536-lr1e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mwqr7fg2,64,3,1536,0.001,1762566,12560,19292160,3.649958544706816,0.29465174177536074,1.3324159383773804,692.992829252,best selected
