phase,shape,batch_size,lr,router_aux,run_name,wandb_url,loss,loss_std,loss_upper_1sd,policy_top1,router_dead_experts,router_dead_experts_max,router_loss,valid,runtime_sec,notes
first,d160x6,2048,0.0004,0.01,moe16a2-tune-1e19-d160x6-b2048-lr4e-4-a1e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/eqi74u4v,3.478085992513817,0.09199775783248447,3.5700837503463014,0.34211325407234744,0.0,0.0,1.0385771989822388,true,1890.35285953,
first,d160x6,2048,0.0004,0.03,moe16a2-tune-1e19-d160x6-b2048-lr4e-4-a3e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6hy0nt3y,3.478755633220469,0.0933730897370491,3.572128722957518,0.3413195466987213,0.0,0.0,1.0220279693603516,true,1171.324464149,
first,d160x6,2048,0.0006,0.03,moe16a2-tune-1e19-d160x6-b2048-lr6e-4-a3e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jqzsrqqa,3.469712762830784,0.09181940066343786,3.5615321634942214,0.344472961396991,0.0,0.0,1.0223121643066406,true,1323.867760071,
first,d160x6,4096,0.0004,0.03,moe16a2-tune-1e19-d160x6-b4096-lr4e-4-a3e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jcga2gnp,3.436077750150911,0.07213361511330987,3.5082113652642213,0.35032733203567185,0.0,0.0,1.008002519607544,true,2402.121621365,
first,d192x4,2048,0.0004,0.03,moe16a2-tune-1e19-d192x4-b2048-lr4e-4-a3e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dzj29qnu,3.4665838254077177,0.09609440981710321,3.562678235224821,0.3436670518904459,0.0,0.0,1.015901803970337,true,1975.941947254,
first,d192x4,4096,0.0004,0.03,moe16a2-tune-1e19-d192x4-b4096-lr4e-4-a3e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/9uz0fda2,3.4331419050872403,0.07376534034983197,3.5069072454370724,0.35150001274800236,0.0,0.0,1.0150851011276243,true,1593.614530243,best valid
first,d128x6,2048,0.0006,0.03,moe16a2-tune-1e19-d128x6-b2048-lr6e-4-a3e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/bevirpck,3.448133356323942,0.11282986045931495,3.560963216783257,0.344920020784315,0.0,0.0,1.025329351425171,true,2216.862988867,
first,d160x4,2048,0.0006,0.03,moe16a2-tune-1e19-d160x4-b2048-lr6e-4-a3e-2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/z1low5p3,3.447040636838858,0.09991513876926465,3.5469557756081227,0.3454086904739579,0.0,0.0,1.0123248100280762,true,1297.217342383,
second,d192x4,6144,0.00035,0.03,moe16a2-tune2-1e19-d192x4-b6144-lr3.5e-4-a3e-2,,,,,,,,,false,,stopped for wall-clock budget
second,d160x4,4096,0.0006,0.03,moe16a2-tune2-1e19-d160x4-b4096-lr6e-4-a3e-2,,,,,,,,,false,,stopped for wall-clock budget
