name,category,run_url,runtime_sec,last_interval_step_time_sec,last_interval_samples_per_sec,last_interval_mfu,result,notes
baseline,baseline,https://wandb.ai/maxence-frenette/chess-engine-4/runs/y9isv692,26.920450447,0.12628758659999945,32433.908274560516,0.00585501388587806,reference,original code with --max-steps equivalent compute budget
baseline_repeat,baseline,https://wandb.ai/maxence-frenette/chess-engine-4/runs/1c1knweh,26.549803528,0.1232724104000006,33227.22405369612,0.0059982243452345214,reference,original logging and pinned memory with --max-steps
bf16_plane_transfer,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jbwlcqox,66.208320153,0.30432069999999956,13459.485338986162,0.002429724869708258,reverted,CPU dtype conversion dominated any transfer savings
metrics_no_grad,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/9bqjs4ct,29.828608155,0.13946900620000022,29368.532203680345,0.0053016479668371195,reverted,no_grad wrapper around metrics was slower
workers_1,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/m5lo1y00,64.322728906,0.3092378397999994,13245.468286316776,0.0023910902159814734,reverted,DataLoader subprocess overhead dominated
workers_2,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/yzlg79bm,46.028673571,0.2062850458,19856.020023725832,0.0035844361392726068,reverted,still much slower than single-process loading
workers_4,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/870241qx,45.988896675,0.20203242329999965,20273.97351918021,0.003659885681116938,reverted,still much slower than single-process loading
torch_compile_full,failed,,0,0,0,0,reverted,failed to trace grouped_mm under Dynamo/autocast
no_grad_norm,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4ya7kphn,27.50555844,0.13117744499999945,31224.880161372388,0.0056367584622267035,reverted,removing grad norm alone was slower
lean_logging,neutral,https://wandb.ai/maxence-frenette/chess-engine-4/runs/72l2h5mv,26.907408643,0.12473917729999968,32836.51607024035,0.005927693200819488,reverted,roughly neutral alone
no_pin_lean,success,https://wandb.ai/maxence-frenette/chess-engine-4/runs/xs31m8ws,23.987215515,0.13395203190000018,30578.110252614948,0.005520002665648433,kept,fastest first combined run
no_pin_lean_repeat,success,https://wandb.ai/maxence-frenette/chess-engine-4/runs/u19hpaju,25.265507678,0.11298624139999944,36252.201588856646,0.006544297464850693,kept,repeat of combined run
no_pin_lean_repeat_2,success,https://wandb.ai/maxence-frenette/chess-engine-4/runs/h4cwtho3,23.78347526,0.10836814330000023,37797.08570498311,0.006823182077689276,kept,mislabeled as baseline-repeat but used optimized code
no_pin_full_logging,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lb4fl7x5,61.214195411,0.2712634928,15099.709724006032,0.002725820439472807,reverted,no pinning without lean logging was much slower
no_pin_lean_no_sync,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wd7dn0mu,29.528956195,0.15221770109999966,26908.828410889782,0.004857618843364771,reverted,removing explicit sync made timing and runtime worse
compile_loss,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/8krvyty6,34.291228176,0.1286756453999999,31831.975563574702,0.005746352162124267,reverted,compile overhead exceeded any loss-kernel benefit
deque_loader,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/n87mxy5k,24.582435984,0.12087401890000038,33886.52116703954,0.006117241570074266,reverted,small loader queue improvement on top of combined change
compile_dense_parts,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wlrtf7lz,36.17446494,0.1430406982000001,28635.206983350683,0.005169267085953195,reverted,compiling only dense submodules was still slower
streaming_tar,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jniegwgd,23.061984766,0.11132220840000004,36794.095795174675,0.006642120954878799,reverted,sequential tar stream mode
streaming_tar_repeat,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vf1uwsd5,25.579150984,0.11724807780000006,34934.47463579653,0.00630641957660328,reverted,repeat showed the win is noisy but still in optimized band
direct_chunk_fill,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/valz791g,24.19688362,0.1150209056999998,35610.91764207876,0.006428532001700506,reverted,avoids concatenating structured records before tensor conversion
cpu2_workers0,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5tixr1hv,41.461897987,0.2048095071000006,19999.07161536247,0.0036102600100296938,reverted,cpu=2 without workers was slower
cpu2_workers1,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/sbjluy1y,79.864599762,0.4236838947999999,9667.584843963725,0.001745205758897364,reverted,cpu=2 with one worker was much slower
cpu2_workers2,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/kb7tbj1i,54.892435484,0.25483968989999967,16072.84956910476,0.002901492987403866,reverted,cpu=2 with two workers was much slower
router_bincount,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/oajal9j8,39.06997065,0.19211323059999968,21320.759570840335,0.0038488529439003978,reverted,bincount router accounting was slower than one_hot
