candidate,modal_app,command,final_samples_per_sec,final_step_ms,avg_400_500_samples_per_sec,avg_400_500_step_ms,result
baseline_num_workers_0_pin_memory,ap-KoCcYik80bVfCncczBWC0p,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-cpu4-nw0",42442.6,96.5,42826.1,95.6,baseline
num_workers_1,ap-2yJ659ljF2lMsN2NE426bq,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --num-workers 1 --wandb-name dlopt-cpu4-nw1",10517.8,389.4,10756.4,380.8,rejected
num_workers_2,ap-iLFBdV9bzbmdxlCpS2Ohj9,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --num-workers 2 --wandb-name dlopt-cpu4-nw2",18434.0,222.2,18069.2,226.7,rejected
num_workers_4,ap-aRgywmKArlXTqW7wuHAbhp,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --num-workers 4 --wandb-name dlopt-cpu4-nw4",19570.2,209.3,18640.9,219.7,rejected
pin_memory_false,ap-4uDaOWaTFqUnntq6dnPwqm,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-cpu4-nw0-pinfalse",43007.7,95.2,43050.0,95.1,rejected_noise
cuda_stream_prefetch,ap-G53BvVxezKcB4nWSpFj2XO,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-cpu4-prefetch-nw0",26803.3,152.8,27571.9,148.6,rejected
num_workers_4_file_system,ap-dCxrqiZKpYtr0ng7ldnPhL,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --num-workers 4 --wandb-name dlopt-cpu4-nw4-filesystem",14261.5,287.2,14875.0,275.4,rejected
direct_dataset_iteration,ap-wzdUD1gZtxNygbeopFLl5T,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-cpu4-direct-iter",36291.7,112.9,38110.3,107.5,rejected
fp16_cpu_planes,ap-QdkyZLma9dWHdgRfFMtmc3,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-fp16-planes-nw0",15654.2,261.7,15324.2,267.3,rejected
float32_cpu_bf16_cuda_copy,ap-vW3QPuT0fJm9cormZ9xr57,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-bf16-copy-nw0",41162.4,99.5,40922.6,100.1,rejected
split_uint8_binary_planes,ap-nnP3my57uO8SrW74UD9yRi,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-split-uint8-planes-nw0",60940.8,67.2,59494.0,68.8,kept
packed_byte_planes_bitshift_unpack,ap-uF2JaqDJ2RbLaCLxwWj0lb,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-packed-byte-planes-nw0",44436.1,92.2,44210.0,92.6,rejected
packed_byte_planes_lut_unpack,ap-gCDVGaxTOlHojV2CkLfEhQ,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-packed-byte-lut-planes-nw0",57027.5,71.8,57089.7,71.7,rejected
sparse_policy_cumsum,ap-FXU3cnV0hB9tGAENYmR9EF,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-sparse-policy-nw0",39205.9,104.5,39462.1,103.8,rejected
sparse_policy_rank,ap-yuSbSqsSdFAGVK3iq1eK5Y,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-sparse-policy-rank-nw0",45455.8,90.1,46713.2,87.7,rejected
packed_byte_planes_compiled_model_unpack,ap-GWZGztRVoFtaSdVVV24VMn,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-packed-inside-compile-nw0",65654.4,62.4,67682.6,60.5,kept
packed_byte_planes_training_wrapper,ap-T4KCdzPSGFssAWGSG97jWm,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-packed-training-wrapper-nw0",67498.4,60.7,71002.5,57.7,kept
compact_policy_k218_numpy_nonzero,ap-0MYOAzUyUlECzdGyg8UEY4,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-compact-policy-k218-nw0",48743.1,84.0,50624.0,80.9,rejected
compact_policy_k218_flat_numpy,ap-5crhRhkanhESqSEmhPlpd9,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-compact-policy-k218-flat-nw0",36504.5,112.2,47900.9,85.5,rejected
compact_policy_k218_torch_cpu,ap-83VeXXKGVnJn4BHD2p16pz,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-compact-policy-k218-torchcpu-nw0",40310.1,101.6,39527.3,103.6,rejected
dense_policy_fp16,ap-uICCP6tB7L9YLupNF2HpiM,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-dense-policy-fp16-nw0",37643.6,108.8,38840.3,105.5,rejected
dense_policy_fp16_to_bf16,ap-VzZbKsjc3UyC7Hx2a3dD4N,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-dense-policy-fp16-to-bf16-nw0",45037.8,90.9,47701.9,85.9,rejected
dense_policy_bf16_cpu,ap-2daxQ75bFPw3ZaLtrMgctr,"uv run train-modal --config configs/mlp/1e19.toml --max-steps 500 --no-wandb --wandb-name dlopt-dense-policy-bf16-cpu-nw0",54034.1,75.8,50059.1,81.8,rejected
