budget,phase,run_name,d_model,depth,batch_size,lr,params,flops_per_sample,loss,loss_std,loss_upper_1sd,policy_top1,runtime_sec,compute_seen,flops_seen,wandb_url
1e18,batch_lr,mlp-retune-1e18-grid-d64x3-b3072-lr0.0012,64,3,3072,0.0012,727302,4600164,3.661604460129574,0.12142944806988729,3.7830339081994615,0.28299913378646974,77.594550217,1000221773062090800,118890024136704,https://wandb.ai/maxence-frenette/chess-engine-4/runs/9mmqbpa5
1e18,batch_lr,mlp-retune-1e18-grid-d64x3-b2048-lr0.0015,64,3,2048,0.0015,727302,4600164,3.660850668350154,0.1225373510655495,3.7833880194157032,0.28496907759773366,61.126292876,1000070615647592400,97065962889216,https://wandb.ai/maxence-frenette/chess-engine-4/runs/l4606ify
1e18,batch_lr,mlp-retune-1e18-grid-d64x3-b2048-lr0.0012,64,3,2048,0.0012,727302,4600164,3.6710642082550473,0.11932890947969996,3.790393117734747,0.28429702679566465,86.183515831,1000070615647592400,97065962889216,https://wandb.ai/maxence-frenette/chess-engine-4/runs/inmtrp8k
1e18,batch_lr,mlp-retune-1e18-grid-d64x3-b3072-lr0.001,64,3,3072,0.001,727302,4600164,3.6775474596101434,0.12477892662592234,3.8023263862360657,0.28019160209819144,63.629176424,1000221773062090800,118890024136704,https://wandb.ai/maxence-frenette/chess-engine-4/runs/beaibl80
1e18,batch_lr,mlp-retune-1e18-grid-d64x3-b1024-lr0.0017,64,3,1024,0.0017,727302,4600164,3.680793590430672,0.1457143603093789,3.8265079507400506,0.2800430539371698,83.94648073,1000119713897189400,68637685395456,https://wandb.ai/maxence-frenette/chess-engine-4/runs/hfuczktt
1e18,batch_lr,mlp-retune-1e18-grid-d64x3-b4096-lr0.0012,64,3,4096,0.0012,727302,4600164,3.666681487725688,0.17085209975497956,3.8375335874806673,0.28616543091086,71.988482005,1000256993978548200,137284791926784,https://wandb.ai/maxence-frenette/chess-engine-4/runs/s8c0h04f
1e18,batch_lr,mlp-retune-1e18-grid-d64x3-b1024-lr0.0012,64,3,1024,0.0012,727302,4600164,3.6844500507656512,0.15804290053473544,3.8424929513003865,0.28214195284414406,67.581957588,1000119713897189400,68637685395456,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jr15g0ig
1e18,batch_lr,mlp-retune-1e18-grid-d64x3-b4096-lr0.001,64,3,4096,0.001,727302,4600164,3.6874103286575544,0.1742607832801679,3.861671111937722,0.2819449283522489,79.85762808,1000256993978548200,137284791926784,https://wandb.ai/maxence-frenette/chess-engine-4/runs/f0z9o781
1e18,batch_lr,mlp-retune-1e18-grid-d64x3-b4096-lr0.00085,64,3,4096,0.00085,727302,4600164,3.7043131362469848,0.1863084493112223,3.890621585558207,0.27887140424645,70.196102986,1000256993978548200,137284791926784,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ik3s0a90
1e18,shape,mlp-retune-1e18-shape-d64x3-b2048-lr1.2e-3,64,3,2048,0.0012,727302,4600164,3.662500769093923,0.11179139090405782,3.7742921599979806,0.28361648323227284,90.915566242,1000070615647592400,97065962889216,https://wandb.ai/maxence-frenette/chess-engine-4/runs/crt0w4ou
1e18,shape,mlp-retune-1e18-shape-d80x2-b2048-lr1.2e-3,80,2,2048,0.0012,877942,5562964,3.6628111117602025,0.12147912250105874,3.7842902342612614,0.2866504012769464,66.399056511,1000052223240609800,106740551098368,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0a7vi0cy
1e18,shape,mlp-retune-1e18-shape-d80x3-b2048-lr1.2e-3,80,3,2048,0.0012,954742,6025526,3.664347640923932,0.12429626652767688,3.788643907451609,0.2901569320152435,50.316414393,1000006756430037000,111087175786496,https://wandb.ai/maxence-frenette/chess-engine-4/runs/nqwn0xzn
1e18,shape,mlp-retune-1e18-shape-d96x3-b2048-lr1.2e-3,96,3,2048,0.0012,1200614,7561480,3.651463208226757,0.14508759608792443,3.7965508043146814,0.29173685534451926,50.970822533,1000038261059747800,124444781117440,https://wandb.ai/maxence-frenette/chess-engine-4/runs/rovj3rxb
1e18,shape,mlp-retune-1e18-shape-d96x4-b2048-lr1.2e-3,96,4,2048,0.0012,1311206,8227146,3.661937127150055,0.15941592027060905,3.821353047420664,0.2912557183792609,46.391320851,1000026952023932800,129806198341632,https://wandb.ai/maxence-frenette/chess-engine-4/runs/hl5q440n
1e18,shape,mlp-retune-1e18-shape-d112x3-b2048-lr1.2e-3,112,3,2048,0.0012,1464918,9208026,3.663858227952498,0.16891970457463554,3.8327779325271334,0.2926848301316915,58.320985674,1000269690073731200,137343085277184,https://wandb.ai/maxence-frenette/chess-engine-4/runs/7zr32gp0
1e18,shape,mlp-retune-1e18-shape-d128x2-b2048-lr1.2e-3,128,2,2048,0.0012,1551046,9782698,3.6543313071192696,0.1849879519045331,3.8393192590238026,0.28975757981552636,48.819793563,1000029776033894400,141547031285760,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dosysssi
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b4096-lr0.0005,192,4,4096,0.0005,3505286,21758070,3.4319463820758305,0.08038187234169779,3.512328254417528,0.34273681682299606,104.742813227,10000420510750431000,944059332648960,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lwlgt15o
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b4096-lr0.0004,192,4,4096,0.0004,3505286,21758070,3.4527286860205355,0.08154724315957074,3.5342759291801062,0.34037392330619953,98.955864192,10000420510750431000,944059332648960,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6grj47xr
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b6144-lr0.0004,192,4,6144,0.0004,3505286,21758070,3.444788191382139,0.09804655898419769,3.5428347503663367,0.33802385242859845,118.35069678,10000077617492398000,1156212003409920,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qm3gvz3y
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b4096-lr0.0003,192,4,4096,0.0003,3505286,21758070,3.4790329446201405,0.08131487044640728,3.5603478150665477,0.33020188763994945,91.770912165,10000420510750431000,944059332648960,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dlak9bnt
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b6144-lr0.00035,192,4,6144,0.00035,3505286,21758070,3.4604016992903843,0.10070547425140908,3.561107173541793,0.3335115048243546,118.923817331,10000077617492398000,1156212003409920,https://wandb.ai/maxence-frenette/chess-engine-4/runs/cn1genbi
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b2048-lr0.0004,192,4,2048,0.0004,3505286,21758070,3.4699696721691273,0.09477351623589372,3.564743188405021,0.3327884259072131,92.89119217,10000735241755177000,667561260380160,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jojgb71i
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b2048-lr0.0005,192,4,2048,0.0005,3505286,21758070,3.4660880955106292,0.09943117132880368,3.565519266839433,0.3387679718931629,86.016211007,10000735241755177000,667561260380160,https://wandb.ai/maxence-frenette/chess-engine-4/runs/1d6xf2wg
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b6144-lr0.00028,192,4,6144,0.00028,3505286,21758070,3.488844972674985,0.1116721497578193,3.6005171224328043,0.32949045306872504,146.764912874,10000077617492398000,1156212003409920,https://wandb.ai/maxence-frenette/chess-engine-4/runs/bq3wcc3v
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b8192-lr0.00035,192,4,8192,0.00035,3505286,21758070,3.463966105696845,0.15525897590465937,3.6192250816015044,0.33207943558667774,159.477763659,10002070408836465000,1335211641815040,https://wandb.ai/maxence-frenette/chess-engine-4/runs/o3enfp7y
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b8192-lr0.0003,192,4,8192,0.0003,3505286,21758070,3.4890446642759807,0.1651659347938325,3.6542105990698133,0.3285442603594502,225.260446517,10002070408836465000,1335211641815040,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vcxfnftn
1e19,batch_lr,mlp-retune-1e19-grid-d192x4-b8192-lr0.00025,192,4,8192,0.00025,3505286,21758070,3.528163132014502,0.17958632027744895,3.707749452291951,0.32257491060345445,142.437605424,10002070408836465000,1335211641815040,https://wandb.ai/maxence-frenette/chess-engine-4/runs/zded27j8
1e19,shape,mlp-retune-1e19-shape-d192x4-b4096-lr4e-4,192,4,4096,0.0004,3505286,21758070,3.4475724322328984,0.08107326053806348,3.528645692770962,0.33498558660912375,145.350164604,10000420510750431000,944059332648960,https://wandb.ai/maxence-frenette/chess-engine-4/runs/kra202mh
1e19,shape,mlp-retune-1e19-shape-d224x3-b4096-lr4e-4,224,3,4096,0.0004,3831142,23830424,3.4483408697556426,0.08572183753013415,3.5340627072857766,0.3402967996774018,158.298087747,10000561465715982000,988002515877888,https://wandb.ai/maxence-frenette/chess-engine-4/runs/hs7zcld0
1e19,shape,mlp-retune-1e19-shape-d160x4-b4096-lr4e-4,160,4,4096,0.0004,2675622,16657938,3.4610364262557667,0.07489856218513788,3.5359349884409044,0.3338366601397734,138.895743041,10001249785922200000,826071676379136,https://wandb.ai/maxence-frenette/chess-engine-4/runs/b8adf0px
1e19,shape,mlp-retune-1e19-shape-d224x4-b4096-lr4e-4,224,4,4096,0.0004,4433254,27448026,3.448398579129064,0.08815851807289538,3.536557097201959,0.3394501589999747,93.609887541,10001811114312598000,1060412543926272,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mknd5ks4
1e19,shape,mlp-retune-1e19-shape-d128x4-b4096-lr4e-4,128,4,4096,0.0004,1944262,12147630,3.472694550766493,0.06925755199879158,3.5419521027652845,0.33162953989239546,214.344122691,10000464721429586000,705400629288960,https://wandb.ai/maxence-frenette/chess-engine-4/runs/hsz1l7qw
1e19,shape,mlp-retune-1e19-shape-d160x6-b4096-lr4e-4,160,6,4096,0.0004,3290022,20351382,3.4655837886039076,0.08454735537365551,3.550131143977563,0.33249502587560675,108.530855369,10000461206383976000,913033982140416,https://wandb.ai/maxence-frenette/chess-engine-4/runs/i3dzqf38
1e19,shape,mlp-retune-1e19-shape-d192x6-b4096-lr4e-4,192,6,4096,0.0004,4390022,27074938,3.462005706861045,0.08939338486685042,3.551399091727895,0.3354180401143548,177.855652646,10000203335315489000,1053096391671808,https://wandb.ai/maxence-frenette/chess-engine-4/runs/oept54y1
1e19,shape,mlp-retune-1e19-shape-d256x4-b4096-lr4e-4,256,4,4096,0.0004,5459526,33727806,3.4713949995584494,0.10448709538594973,3.575882094944399,0.3374696451886805,135.18616196,10000069114657112000,1175372486443008,https://wandb.ai/maxence-frenette/chess-engine-4/runs/yoalmq81
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b8192-lr0.0004,384,4,8192,0.0004,10547654,64745166,3.228043644050105,0.04160053935355009,3.269644183403655,0.394918060217785,251.273099832,100000374543523230000,7282818042642432,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0vvclxrb
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b12288-lr0.00035,384,4,12288,0.00035,10547654,64745166,3.2322625082176915,0.04469723361345116,3.2769597418311425,0.39542577217537134,305.49806575,100012602740302280000,8920139381047296,https://wandb.ai/maxence-frenette/chess-engine-4/runs/7o7tqn54
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b8192-lr0.00035,384,4,8192,0.00035,10547654,64745166,3.232622386423998,0.047223240325660616,3.2798456267496583,0.390338382918635,254.472377503,100000374543523230000,7282818042642432,https://wandb.ai/maxence-frenette/chess-engine-4/runs/tvbx8e7z
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b8192-lr0.0003,384,4,8192,0.0003,10547654,64745166,3.2387435093034593,0.044427415387882016,3.2831709246913414,0.3913532839711435,370.73385527,100000374543523230000,7282818042642432,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4fvosmgj
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b12288-lr0.00025,384,4,12288,0.00025,10547654,64745166,3.2451030654714454,0.04741845009801807,3.2925215155694634,0.3909012850231622,308.629656763,100012602740302280000,8920139381047296,https://wandb.ai/maxence-frenette/chess-engine-4/runs/1sp8b8sk
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b16384-lr0.00032,384,4,16384,0.00032,10547654,64745166,3.2373856517048907,0.05755662247356437,3.294942274178455,0.3918918748506178,359.861977577,100015140137543290000,10300220405514240,https://wandb.ai/maxence-frenette/chess-engine-4/runs/g4klo667
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b4096-lr0.00055,384,4,4096,0.00055,10547654,64745166,3.2526731093050625,0.057843264575344125,3.3105163738804064,0.3920120426534864,196.625281751,100004840182333960000,5149845006557184,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5ggjyayk
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b16384-lr0.00027,384,4,16384,0.00027,10547654,64745166,3.256732780732484,0.059143709774039085,3.315876490506523,0.3882716312731459,508.167982217,100015140137543290000,10300220405514240,https://wandb.ai/maxence-frenette/chess-engine-4/runs/y2tuwe7c
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b16384-lr0.00022,384,4,16384,0.00022,10547654,64745166,3.2607062842057593,0.06000502675638151,3.3207113109621407,0.3877218444745427,362.512839478,100015140137543290000,10300220405514240,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qxvydsfz
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b12288-lr0.0003,384,4,12288,0.0003,10547654,64745166,3.25725604916388,0.07771061674262894,3.334966665906509,0.3879621696866631,313.066920629,100012602740302280000,8920139381047296,https://wandb.ai/maxence-frenette/chess-engine-4/runs/eocxmirr
1e20,batch_lr,mlp-retune-1e20-grid-d384x4-b4096-lr0.00045,384,4,4096,0.00045,10547654,64745166,3.2736551484587486,0.07599218057381524,3.349647329032564,0.3868746567629439,197.585958297,100004840182333960000,5149845006557184,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dp6sfjm3
1e20,shape,mlp-retune-1e20-shape-d384x4-b8192-lr3.5e-4,384,4,8192,0.00035,10547654,64745166,3.2363382226285298,0.04311199079982503,3.2794502134283547,0.39386507517234776,261.752032256,100000374543523230000,7282818042642432,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wjfvu23d
1e20,shape,mlp-retune-1e20-shape-d320x4-b8192-lr3.5e-4,320,4,8192,0.00035,7806982,48056838,3.239760106339552,0.039703239873100704,3.2794633462126526,0.39456579830072674,325.535047219,100002942909589680000,6274497610088448,https://wandb.ai/maxence-frenette/chess-engine-4/runs/k4ijzjs7
1e20,shape,mlp-retune-1e20-shape-d320x6-b8192-lr3.5e-4,320,6,8192,0.00035,10264582,62816522,3.236767379789421,0.0488095464627448,3.285576926252166,0.39365875006618656,408.381340586,100011901599490720000,7173940291190784,https://wandb.ai/maxence-frenette/chess-engine-4/runs/tisps8t6
1e20,shape,mlp-retune-1e20-shape-d256x4-b8192-lr3.5e-4,256,4,8192,0.00035,5459526,33727806,3.2382383131369163,0.04821529310476815,3.2864536062416847,0.3901436777168773,303.185532649,100006301381253120000,5256573002956800,https://wandb.ai/maxence-frenette/chess-engine-4/runs/kvpu9cqt
1e20,shape,mlp-retune-1e20-shape-d224x4-b8192-lr3.5e-4,224,4,8192,0.00035,4433254,27448026,3.2531200711788077,0.045856103821795835,3.2989761750006035,0.3894694097009917,366.057299081,100003001163791940000,4741950835212288,https://wandb.ai/maxence-frenette/chess-engine-4/runs/1sz20l7j
1e20,shape,mlp-retune-1e20-shape-d384x6-b8192-lr3.5e-4,384,6,8192,0.00035,14086598,85995730,3.2534901076103084,0.050060998107133214,3.3035511057174416,0.3898062990819883,332.75808866,100012647628384260000,8393843695206400,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vexnoqq4
1e20,shape,mlp-retune-1e20-shape-d512x4-b8192-lr3.5e-4,512,4,8192,0.00035,17208646,105199710,3.269711668727432,0.051915942186696803,3.321627610914129,0.38730920400433055,285.744875233,100017917084603100000,9284128569999360,https://wandb.ai/maxence-frenette/chess-engine-4/runs/oatym9hf
