budget,phase,run_name,d_model,depth,batch_size,lr,router_aux,params,flops_per_sample,loss,loss_std,loss_upper_1sd,policy_top1,router_dead_experts,router_dead_experts_max,runtime_sec,compute_seen,flops_seen,samples_seen,wandb_url
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b8192-lr0.0003-a3e-2,320,4,8192,0.0003,0.03,42233862,48190183,3.2268885528691955,0.043255407049212276,3.270143959918408,0.40349740750736474,0.0,0.0,800.243592247,1.0000377172809522e+20,6283222651928576.0,130383872,https://wandb.ai/maxence-frenette/chess-engine-4/runs/gukpgmau
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b12288-lr0.0002-a3e-2,320,4,12288,0.0002,0.03,42233862,48190183,3.235720238705207,0.038037742450045264,3.273757981155252,0.4034355442580002,0.0,0.0,850.52720412,1.0001362844480628e+20,7695723949277184.0,159694848,https://wandb.ai/maxence-frenette/chess-engine-4/runs/e919u90j
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b8192-lr0.0002-a3e-2,320,4,8192,0.0002,0.03,42233862,48190183,3.245508643163338,0.0435732399322006,3.289081883095539,0.4004108330094244,0.0,0.0,828.157423797,1.0000377172809522e+20,6283222651928576.0,130383872,https://wandb.ai/maxence-frenette/chess-engine-4/runs/rbjht3ca
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b12288-lr0.00015-a3e-2,320,4,12288,0.00015,0.03,42233862,48190183,3.259996543731782,0.04014487404292623,3.300141417774708,0.396324320243328,0.0,0.0,851.412197811,1.0001362844480628e+20,7695723949277184.0,159694848,https://wandb.ai/maxence-frenette/chess-engine-4/runs/nvla0cpw
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b16384-lr0.00015-a3e-2,320,4,16384,0.00015,0.03,42233862,48190183,3.251447344564845,0.05021159263698307,3.301658937201828,0.3948449777171116,0.0,0.0,944.334992405,1.0001600735280456e+20,8886362270351360.0,184401920,https://wandb.ai/maxence-frenette/chess-engine-4/runs/gkg45s8z
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b8192-lr0.00015-a3e-2,320,4,8192,0.00015,0.03,42233862,48190183,3.267925655194916,0.04385849923472766,3.3117841544296436,0.3945090485853609,0.0,0.0,824.424229383,1.0000377172809522e+20,6283222651928576.0,130383872,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ryvcf4w3
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b12288-lr0.00012-a3e-2,320,4,12288,0.00012,0.03,42233862,48190183,3.280243907119268,0.046110705858003184,3.3263546129772714,0.38928258079057226,0.0,0.0,913.104940055,1.0001362844480628e+20,7695723949277184.0,159694848,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0kwv5uri
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b4096-lr0.00025-a3e-2,320,4,4096,0.00025,0.03,42233862,48190183,3.2687655648032523,0.06371692681441889,3.332482491617671,0.3946364801463908,0.0,0.0,806.955148722,1.000071211879212e+20,4442983748186112.0,92196864,https://wandb.ai/maxence-frenette/chess-engine-4/runs/d7y5q95w
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b16384-lr0.00012-a3e-2,320,4,16384,0.00012,0.03,42233862,48190183,3.280081116385129,0.05558974968518931,3.3356708660703185,0.3873696762316843,0.0,0.0,975.471510169,1.0001600735280456e+20,8886362270351360.0,184401920,https://wandb.ai/maxence-frenette/chess-engine-4/runs/12i20hjl
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b4096-lr0.0002-a3e-2,320,4,4096,0.0002,0.03,42233862,48190183,3.27465277957898,0.06610096344145676,3.340753743020437,0.3905838434346676,0.0,0.0,794.054930642,1.000071211879212e+20,4442983748186112.0,92196864,https://wandb.ai/maxence-frenette/chess-engine-4/runs/u63o54bd
1e20,grid,moe16a2-retune-1e20-grid-d320x4-b16384-lr0.0001-a3e-2,320,4,16384,0.0001,0.03,42233862,48190183,3.3057774449459902,0.06325907763761959,3.3690365225836096,0.38036524231558616,0.0,0.0,946.925967936,1.0001600735280456e+20,8886362270351360.0,184401920,https://wandb.ai/maxence-frenette/chess-engine-4/runs/n6u4w4fs
1e20,grid2,moe16a2-retune-1e20-grid2-d320x4-b12288-lr0.0003-a3e-2,320,4,12288,0.0003,0.03,42233862,48190183,3.210555226886436,0.04738853998427528,3.2579437668707114,0.4094100104486848,0.0,0.0,1030.902362819,1.0001362844480628e+20,7695723949277184.0,159694848,https://wandb.ai/maxence-frenette/chess-engine-4/runs/pd7d63ia
1e20,grid2,moe16a2-retune-1e20-grid2-d320x4-b8192-lr0.0005-a3e-2,320,4,8192,0.0005,0.03,42233862,48190183,3.218785784142002,0.04271364966796507,3.261499433809967,0.4057645343372492,0.0,0.0,802.703384306,1.0000377172809522e+20,6283222651928576.0,130383872,https://wandb.ai/maxence-frenette/chess-engine-4/runs/c3dq1evq
1e20,grid2,moe16a2-retune-1e20-grid2-d320x4-b8192-lr0.0004-a3e-2,320,4,8192,0.0004,0.03,42233862,48190183,3.219098738749502,0.042798178637275704,3.2618969173867773,0.4053982829649954,0.0,0.0,780.692406295,1.0000377172809522e+20,6283222651928576.0,130383872,https://wandb.ai/maxence-frenette/chess-engine-4/runs/j4xvbjpk
1e20,grid2,moe16a2-retune-1e20-grid2-d256x4-b8192-lr0.0003-a3e-2,256,4,8192,0.0003,0.03,27496006,33834527,3.221700702590664,0.042466641199951985,3.264167343790616,0.4057693887043388,0.0,0.0,798.628513702,1.0000659687615018e+20,5264890596270080.0,155607040,https://wandb.ai/maxence-frenette/chess-engine-4/runs/p4jiluzc
1e20,grid2,moe16a2-retune-1e20-grid2-d384x4-b8192-lr0.0003-a3e-2,384,4,8192,0.0003,0.03,60117446,64905135,3.238682515476337,0.04181326239176527,3.280495777868102,0.40245745080391854,0.0,0.0,819.603769884,1.0001396041556276e+20,7292304806092800.0,112353280,https://wandb.ai/maxence-frenette/chess-engine-4/runs/toef31fm
1e20,grid2,moe16a2-retune-1e20-grid2-d320x4-b6144-lr0.0004-a3e-2,320,4,6144,0.0004,0.03,42233862,48190183,3.241357660822885,0.0544040519983807,3.2957617128212657,0.4023640873047161,0.0,0.0,769.645502133,1.0000144532503616e+20,5441367141421056.0,112914432,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fxcpxvi1
1e20,grid2,moe16a2-retune-1e20-grid2-d320x4-b6144-lr0.0003-a3e-2,320,4,6144,0.0003,0.03,42233862,48190183,3.249070973048579,0.05471352246560502,3.303784495514184,0.4006899375219956,0.0,0.0,776.535944125,1.0000144532503616e+20,5441367141421056.0,112914432,https://wandb.ai/maxence-frenette/chess-engine-4/runs/9jtkoq9f
1e20,grid2,moe16a2-retune-1e20-grid2-d320x4-b12288-lr0.00025-a3e-2,320,4,12288,0.00025,0.03,42233862,48190183,3.2408031115727693,0.07726482855006683,3.318067940122836,0.39938502478924726,0.0,0.0,859.413693321,1.0001362844480628e+20,7695723949277184.0,159694848,https://wandb.ai/maxence-frenette/chess-engine-4/runs/tg58bip7
1e20,grid3,moe16a2-retune-1e20-grid3-d320x4-b12288-lr0.0005-a3e-2,320,4,12288,0.0005,0.03,42233862,48190183,3.199818082843349,0.036701576589735684,3.236519659433085,0.4137125002348904,0.0,0.0,855.191887474,1.0001362844480628e+20,7695723949277184.0,159694848,https://wandb.ai/maxence-frenette/chess-engine-4/runs/2utqblr5
1e20,grid3,moe16a2-retune-1e20-grid3-d320x4-b12288-lr0.0004-a3e-2,320,4,12288,0.0004,0.03,42233862,48190183,3.200190000938848,0.040459828257273366,3.2406498291961214,0.4125990993467627,0.0,0.0,874.993750441,1.0001362844480628e+20,7695723949277184.0,159694848,https://wandb.ai/maxence-frenette/chess-engine-4/runs/a5m2ehf6
1e20,grid3,moe16a2-retune-1e20-grid3-d320x4-b16384-lr0.0003-a3e-2,320,4,16384,0.0003,0.03,42233862,48190183,3.1993472153142637,0.04358632022806561,3.2429335355423294,0.4100293653906235,0.0,0.0,947.192531311,1.0001600735280456e+20,8886362270351360.0,184401920,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5tgzbblb
1e20,grid3,moe16a2-retune-1e20-grid3-d256x4-b12288-lr0.0003-a3e-2,256,4,12288,0.0003,0.03,27496006,33834527,3.2107593763539977,0.03574333554803777,3.2465027119020355,0.4087158264408032,0.0,0.0,833.737899736,1.000020502779456e+20,6448001178537984.0,190574592,https://wandb.ai/maxence-frenette/chess-engine-4/runs/cd6ws0cx
1e20,grid3,moe16a2-retune-1e20-grid3-d320x4-b16384-lr0.00025-a3e-2,320,4,16384,0.00025,0.03,42233862,48190183,3.208776360742301,0.04492268845529374,3.253699049197595,0.4070014772618976,0.0,0.0,938.580097545,1.0001600735280456e+20,8886362270351360.0,184401920,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4rbm96g9
1e20,grid3,moe16a2-retune-1e20-grid3-d320x4-b8192-lr0.0006-a3e-2,320,4,8192,0.0006,0.03,42233862,48190183,3.2213573089974123,0.04306698962520038,3.264424298622613,0.40486020907498,0.0,0.0,793.668464002,1.0000377172809522e+20,6283222651928576.0,130383872,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3kdiqy3y
1e20,shape,moe16a2-retune-1e20-shape-d320x4-b8192-lr1.5e-4-a3e-2,320,4,8192,0.00015,0.03,42233862,48190183,3.2653672448851077,0.042906966584596196,3.308274211469704,0.393958888762558,0.0,0.0,915.256780504,1.0000377172809522e+20,6283222651928576.0,130383872,https://wandb.ai/maxence-frenette/chess-engine-4/runs/262v91q0
1e20,shape,moe16a2-retune-1e20-shape-d256x4-b8192-lr1.5e-4-a3e-2,256,4,8192,0.00015,0.03,27496006,33834527,3.2677399777631257,0.0440311865621465,3.3117711643252723,0.3929536165214306,0.0,0.0,820.109517784,1.0000659687615018e+20,5264890596270080.0,155607040,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ion87qpo
1e20,shape,moe16a2-retune-1e20-shape-d384x4-b8192-lr1.5e-4-a3e-2,384,4,8192,0.00015,0.03,60117446,64905135,3.2777096478464016,0.04473979875674115,3.3224494466031427,0.3945822997144497,0.0,0.0,839.187658246,1.0001396041556276e+20,7292304806092800.0,112353280,https://wandb.ai/maxence-frenette/chess-engine-4/runs/zgzpfe42
1e20,shape,moe16a2-retune-1e20-shape-d448x4-b8192-lr1.5e-4-a3e-2,448,4,8192,0.00015,0.03,81146758,83979383,3.2793033771491578,0.05097393948939798,3.3302773166385555,0.38971712407538106,0.0,0.0,866.306627264,1.0000947443269114e+20,8294722935447552.0,98770944,https://wandb.ai/maxence-frenette/chess-engine-4/runs/uwo1rei1
1e20,shape,moe16a2-retune-1e20-shape-d448x5-b8192-lr1.5e-4-a3e-2,448,5,8192,0.00015,0.03,100421510,98486577,3.2956501312228217,0.05296710452781871,3.3486172357506403,0.38784709749450585,0.0,0.0,1009.033536071,1.0001598604060764e+20,8982933899821056.0,91209728,https://wandb.ai/maxence-frenette/chess-engine-4/runs/nisctgrn
1e20,shape,moe16a2-retune-1e20-shape-d512x4-b8192-lr1.5e-4-a3e-2,512,4,8192,0.00015,0.03,105321798,105412927,3.294073419680275,0.05637647653642434,3.3504498962166993,0.3885412876545507,0.0,0.0,944.001838838,1.0001607140200438e+20,9293446515703808.0,88162304,https://wandb.ai/maxence-frenette/chess-engine-4/runs/bfdh7g8k
