budget,run_name,status,d_model,depth,params,batch_size,lr,steps,samples_seen,loss,loss_std,loss_upper_1sd,policy_top1,runtime_sec,wandb_url
1e18,dense-blackwell-1e18-baseline,completed,64,3,733408,2048,0.0012,10302,21098496,3.6240937430504703,0.10831795022118802,3.7324116932716582,0.29623849875911945,25.924744811,https://wandb.ai/maxence-frenette/chess-engine-4/runs/e77wxtqp
1e18,dense-bw-shape-18-d32x2,completed,32,2,318496,2048,0.0012,15598,31944704,3.730127418861781,0.11556870075386705,3.845696119615648,0.2668316341908445,42.4332437,https://wandb.ai/maxence-frenette/chess-engine-4/runs/2vrzolua
1e18,dense-bw-shape-18-d64x2,completed,64,2,684192,2048,0.0012,10651,21813248,3.62252884597369,0.11617878037590877,3.738707626349599,0.2930749980048197,34.534899253,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6m6zejqh
1e18,dense-bw-shape-18-d96x2,completed,96,2,1099040,2048,0.0012,8415,17233920,3.594993854770437,0.14041934497979836,3.7354131997502353,0.30587047331945405,40.208961221,https://wandb.ai/maxence-frenette/chess-engine-4/runs/syp1pmcd
1e18,dense-bw-shape-18-d96x3,completed,96,3,1209728,2048,0.0012,8036,16457728,3.599807057750683,0.13491267721681005,3.734719734967493,0.3060423001239345,21.954296023,https://wandb.ai/maxence-frenette/chess-engine-4/runs/aytbpyy3
1e18,dense-bw-tune-18-d64x3-b1536-lr12,completed,64,3,733408,1536,0.0012,11896,18272256,3.645421919175172,0.13253881128139922,3.7779607304565714,0.29664724724084657,55.156919214,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0psu8hie
1e18,dense-bw-tune-18-d64x3-b1536-lr15,completed,64,3,733408,1536,0.0015,11896,18272256,3.6349090236197266,0.12194919585210792,3.7568582194718343,0.29706059787568484,34.227217579,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ovmtv8pl
1e18,dense-bw-tune-18-d64x3-b3072-lr10,completed,64,3,733408,3072,0.001,8412,25841664,3.6191772883561018,0.11231877314458513,3.7314960615006867,0.29518674574293063,31.066133054,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vowzs4os
1e19,dense-blackwell-1e19-baseline,completed,192,4,3523616,4096,0.0005,10593,43388928,3.387721814245855,0.07981781972717325,3.4675396339730282,0.3546088095605942,57.166166817,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ot1zhw1j
1e19,dense-bw-shape-19-d128x3,completed,128,3,1759776,4096,0.0005,14921,61116416,3.407679574254346,0.07079351347792213,3.4784730877322683,0.3478775914994686,53.084581265,https://wandb.ai/maxence-frenette/chess-engine-4/runs/x05av7tn
1e19,dense-bw-shape-19-d160x4,completed,160,4,2690912,4096,0.0005,12106,49586176,3.3893632637829136,0.07465967884471117,3.464022942627625,0.35154238809440863,45.614239049,https://wandb.ai/maxence-frenette/chess-engine-4/runs/aunrxaba
1e19,dense-bw-shape-19-d224x4,completed,224,4,4454624,4096,0.0005,9431,38629376,3.398668186705715,0.08548606165333435,3.4841542483590495,0.35386509653384685,67.261139839,https://wandb.ai/maxence-frenette/chess-engine-4/runs/cgoh9l02
1e19,dense-bw-shape-19-d256x3,completed,256,3,4697248,4096,0.0005,9175,37580800,3.395103083859147,0.08706390805084577,3.4821669919099927,0.3527316338146638,31.440016958,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5kh5ws5o
1e19,dense-bw-tune-19-d160x4-b3072-lr5,completed,160,4,2690912,3072,0.0005,13979,42943488,3.3952788592980605,0.0858201123415538,3.4810989716396143,0.3512340501662731,54.989729074,https://wandb.ai/maxence-frenette/chess-engine-4/runs/hdoruylo
1e19,dense-bw-tune-19-d160x4-b3072-lr6,completed,160,4,2690912,3072,0.0006,13979,42943488,3.3948329202860323,0.08945342705689163,3.484286347342924,0.35392306433692966,51.925772967,https://wandb.ai/maxence-frenette/chess-engine-4/runs/r04uv0f9
1e19,dense-bw-tune-19-d160x4-b6144-lr4,completed,160,4,2690912,6144,0.0004,9885,60733440,3.4028608307541317,0.07569805235964501,3.478558883113777,0.3482458405748768,48.903144101,https://wandb.ai/maxence-frenette/chess-engine-4/runs/j4mo3t0n
1e20,dense-blackwell-1e20-baseline,completed,384,4,10584224,8192,0.0004,13731,112484352,3.193424491191818,0.05330466491679677,3.246729156108615,0.4068948952371802,159.975732654,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fbnr3caf
1e20,dense-bw-shape-20-d320x4,completed,320,4,7837472,8192,0.0004,15938,130564096,3.1949670613329255,0.048014424081674126,3.2429814854145995,0.4073527127308262,86.02108341,https://wandb.ai/maxence-frenette/chess-engine-4/runs/rd27qx3g
1e20,dense-bw-shape-20-d384x5,completed,384,5,12354080,8192,0.0004,12726,104251392,3.1960871758535694,0.054199396983498356,3.2502865728370676,0.4071878758531134,64.272050594,https://wandb.ai/maxence-frenette/chess-engine-4/runs/w4ddzhn2
1e20,dense-bw-shape-20-d448x4,completed,448,4,13724192,8192,0.0004,12070,98877440,3.2062020703453733,0.053153112510203285,3.2593551828555767,0.4023281779030218,71.229174126,https://wandb.ai/maxence-frenette/chess-engine-4/runs/yuuom6ry
1e20,dense-bw-shape-20-d512x3,completed,512,3,14111136,8192,0.0004,11892,97419264,3.208755156194615,0.059615777556786625,3.2683709337514015,0.4022148232503189,61.052784149,https://wandb.ai/maxence-frenette/chess-engine-4/runs/393ts5hr
1e20,dense-bw-tune-20-d320x4-b12288-lr3,completed,320,4,7837472,12288,0.0003,13013,159903744,3.2006428607723785,0.04448195441826645,3.245124815190645,0.4007490215807279,98.329297624,https://wandb.ai/maxence-frenette/chess-engine-4/runs/59tr91pd
1e20,dense-bw-tune-20-d320x4-b6144-lr4,completed,320,4,7837472,6144,0.0004,18403,113068032,3.1978852707731225,0.053117668880123696,3.251002939653246,0.40406317750324494,84.899682337,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ebnqkcxi
1e20,dense-bw-tune-20-d320x4-b6144-lr5,completed,320,4,7837472,6144,0.0005,18403,113068032,3.1905954378484633,0.055543826579157185,3.2461392644276206,0.4064409199128756,232.270015785,https://wandb.ai/maxence-frenette/chess-engine-4/runs/rfg5nyg5
1e21,dense-blackwell-1e21-baseline,completed,768,5,42400928,16384,0.0002,15414,252542976,3.062641716871787,0.03962675989416394,3.1022684767659507,0.44464932424669146,169.021755447,https://wandb.ai/maxence-frenette/chess-engine-4/runs/pb7jdart
1e21,dense-bw-shape-21-d1024x4,failed,1024,4,59678624,16384,0.0002,12996,0,,,,,6,https://wandb.ai/maxence-frenette/chess-engine-4/runs/axs1oehu
1e21,dense-bw-shape-21-d640x5,completed,640,5,30419232,16384,0.0002,18184,297926656,3.0532501197070268,0.03796063160846471,3.0912107513154914,0.44605858829133566,218.911029935,https://wandb.ai/maxence-frenette/chess-engine-4/runs/42sy7i9s
1e21,dense-bw-shape-21-d768x6,completed,768,6,49479584,16384,0.0002,14278,233930752,3.0665258231874724,0.04339870631475072,3.109924529502223,0.4423971525188478,144.274398784,https://wandb.ai/maxence-frenette/chess-engine-4/runs/zovbjl0k
1e21,dense-bw-shape-21-d896x5,completed,896,5,56348704,16384,0.0002,13379,219201536,3.076579956856092,0.04060246859843659,3.1171824254545286,0.4413874410419943,142.058898799,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ruwgn0ha
1e21,dense-bw-tune-21-d640x5-b12288-lr2,completed,640,5,30419232,12288,0.0002,20997,258011136,3.061594570042878,0.04031006933008863,3.101904639372967,0.444668249711032,165.994429299,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dp3gytyx
1e21,dense-bw-tune-21-d640x5-b12288-lr25,completed,640,5,30419232,12288,0.00025,20997,258011136,3.0474547159578576,0.04219681535665115,3.0896515313145088,0.44921098511489793,374.956293517,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jbowyv42
1e21,dense-bw-tune-21-d640x5-b24576-lr16,completed,640,5,30419232,24576,0.00016,14847,364879872,3.0752249262023055,0.03421832286404739,3.109443249066353,0.43806814148527623,505.17395283,https://wandb.ai/maxence-frenette/chess-engine-4/runs/8x6f52si
1e22,dense-blackwell-1e22-baseline,completed,1472,6,169446816,24576,0.0001,19959,400834560,3.028786677695986,0.024336671933669306,3.0531233496296557,0.45584547360686095,415.764570405,https://wandb.ai/maxence-frenette/chess-engine-4/runs/06k7j0pb
1e22,dense-bw-tune-22-d1280x6-b12288,completed,1280,6,129650592,12288,0.0001,32258,396386304,2.962474222458852,0.03695345116084806,2.9994276736197003,0.47501782054876385,354.707166031,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ffxpryi8
1e22,dense-bw-tune-22-d1280x6-b9216-lr10,completed,1280,6,129650592,9216,0.0001,37248,343277568,2.9695124861003883,0.03800590810449602,3.0075183942048844,0.4732459263679529,336.099688051,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ipmp0w2q
1e22,dense-bw-tune-22-d1280x6-b9216-lr125,completed,1280,6,129650592,9216,0.000125,37248,343277568,2.9505129866846933,0.03596038163873038,2.9864733683234235,0.4785936559604376,464.166951503,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4veqy5pz
1e22,dense-bw-tune-22-d1280x6-b9216-lr15,completed,1280,6,129650592,9216,0.00015,37248,343277568,2.940100114722108,0.03466743717542649,2.9747675518975343,0.4816901736501614,328.371913626,https://wandb.ai/maxence-frenette/chess-engine-4/runs/llwm76ng
1e22,dense-bw-tune-22-d1472x7-b12288,completed,1472,7,195449696,12288,0.0001,26289,323039232,2.9849947550576488,0.03454309678567751,3.0195378518433262,0.4721033688671288,388.119980143,https://wandb.ai/maxence-frenette/chess-engine-4/runs/kpcv2x32
1e22,dense-bw-tune-22-d1664x6-b12288,completed,1664,6,214551456,12288,0.0001,25090,308305920,2.9895847311276103,0.03629697062982093,3.0258817017574313,0.4698408120820643,383.316261126,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mu7n1pl0
1e22,dense-bw-tune-22-d1792x5-b12288,completed,1792,5,209033376,12288,0.0001,25414,312287232,2.9886011401791666,0.035983006082537725,3.0245841462617045,0.4673798698806577,361.491498247,https://wandb.ai/maxence-frenette/chess-engine-4/runs/xtn699xb
