d_model,ratio,steps,samples_seen,loss,loss_std,loss_upper_1sd,policy_top1,loss_spike_count,flops_efficiency,runtime_sec,wandb_url
32,30,4666,9555968,3.923323748,0.428812749,4.352136496,0.237891170,0,0.607567,22.535,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dp2mvgxp
32,35,5444,11149312,3.870790423,0.301567802,4.172358225,0.244697060,0,0.759463,18.271,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5udrb76g
32,40,6221,12740608,3.834856542,0.229155708,4.064012249,0.246281007,0,0.864086,19.508,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ynmqhtwh
32,45,6998,14331904,3.800885767,0.184923910,3.985809677,0.251760478,0,0.987792,18.446,https://wandb.ai/maxence-frenette/chess-engine-4/runs/hk4b2cgs
32,48,7465,15288320,3.792183843,0.162263236,3.954447079,0.254406608,0,0.988144,20.435,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lfgr4tmh
32,50,7776,15925248,3.787656032,0.150677250,3.938333282,0.254524965,0,0.981319,22.149,https://wandb.ai/maxence-frenette/chess-engine-4/runs/yi6fauit
64,30,5372,22003712,3.679052583,0.293970790,3.973023374,0.287423334,0,0.711470,28.525,https://wandb.ai/maxence-frenette/chess-engine-4/runs/zthl43e8
64,35,6267,25669632,3.635135443,0.200947684,3.836083127,0.293322874,0,0.862586,23.493,https://wandb.ai/maxence-frenette/chess-engine-4/runs/iyh793g3
64,40,7163,29339648,3.599719100,0.145116672,3.744835773,0.297917492,0,1.002792,44.152,https://wandb.ai/maxence-frenette/chess-engine-4/runs/cxgaqbk5
64,45,8058,33005568,3.588429855,0.110013188,3.698443043,0.301677915,0,0.976823,39.039,https://wandb.ai/maxence-frenette/chess-engine-4/runs/r7hdv6p9
64,48,8595,35205120,3.595308176,0.097614566,3.692922741,0.304525126,0,0.866091,33.775,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5d395m3u
64,50,8953,36671488,3.576998119,0.088921989,3.665920107,0.303894658,0,0.964957,46.438,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mtppahc9
128,30,7165,58695680,3.414502253,0.146578522,3.561080775,0.346677594,0,0.902820,119.087,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fi5whkk8
128,35,8360,68485120,3.397099842,0.091101816,3.488201658,0.350751685,0,0.901934,115.360,https://wandb.ai/maxence-frenette/chess-engine-4/runs/yx2dnh7k
128,40,9554,78266368,3.378149330,0.064680880,3.442830210,0.355219262,0,0.933883,113.982,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4u7iutrf
128,45,10748,88047616,3.364401783,0.052791265,3.417193048,0.358572271,0,0.938821,56.002,https://wandb.ai/maxence-frenette/chess-engine-4/runs/87s8fh2p
128,48,11464,93913088,3.346359870,0.060536078,3.406895948,0.359759577,0,1.035676,143.102,https://wandb.ai/maxence-frenette/chess-engine-4/runs/r2uqyr8x
128,50,11942,97828864,3.346731527,0.055203767,3.401935294,0.361641204,0,0.990881,68.478,https://wandb.ai/maxence-frenette/chess-engine-4/runs/j2bqne56
256,30,11482,188121088,3.159956433,0.046457749,3.206414183,0.410714203,2,0.956104,223.935,https://wandb.ai/maxence-frenette/chess-engine-4/runs/sut2gb11
256,35,13396,219480064,3.141423360,0.039219223,3.180642583,0.416743581,0,0.985979,275.113,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0zeaw6gv
256,40,15310,250839040,3.125456480,0.036390737,3.161847217,0.421150972,1,1.013198,347.293,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ceel18wh
256,45,17223,282181632,3.113303894,0.037204535,3.150508429,0.424275451,0,1.018832,174.800,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mr6ba87q
256,48,18371,300990464,3.104265703,0.038280273,3.142545975,0.425197803,1,1.047427,188.712,https://wandb.ai/maxence-frenette/chess-engine-4/runs/txo1oe5l
256,50,19136,313524224,3.097006169,0.037405605,3.134411774,0.427994605,0,1.083205,394.948,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0dg5f55u
