name,id,wandb_url,phase,ratio,width,depth,batch_size,steps,lr,recipe_lr,loss,policy_top1,loss_spike_count,runtime_sec,flops,selected
dense-lr32d-r0p5-d32-m050,fww1by9c,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fww1by9c,sweep,0.5,32,2,1024,7776,0.0019499999999999997,0.0042,3.860507006091935,0.24458606655244247,0,56.443833813,15981034143744,False
dense-lr32d-r0p5-d32-m070,fia6o3ml,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fia6o3ml,sweep,0.5,32,2,1024,7776,0.00273,0.0042,3.857561574284482,0.2453235318838768,0,25.301635823,15981034143744,False
dense-lr32d-r0p5-d32-m100,jrp2q8at,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jrp2q8at,sweep,0.5,32,2,1024,7776,0.0038999999999999994,0.0042,3.857117903316467,0.24535397777849677,0,48.258598213,15981034143744,True
dense-lr32d-r0p5-d32-m140,ct8e2iup,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ct8e2iup,sweep,0.5,32,2,1024,7776,0.00546,0.0042,3.8660273481424015,0.24552844414630132,0,21.872687923,15981034143744,False
dense-lr32d-recipe-r0p5-d32,qci1bzm0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qci1bzm0,validation,0.5,32,2,1024,7776,0.0051,0.0042,3.8605811631405302,0.2465492030273353,0,36.177981049,15981034143744,False
dense-lr32d-r0p5-d64-m050,3uz2va8j,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3uz2va8j,sweep,0.5,64,3,2048,8953,0.00135,0.0022,3.642682459759262,0.2906443056247612,0,31.172840602,84357990850560,False
dense-lr32d-r0p5-d64-m070,6gc3d7y4,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6gc3d7y4,sweep,0.5,64,3,2048,8953,0.00189,0.0022,3.6387977348890743,0.29177565246853343,0,34.496967082,84357990850560,True
dense-lr32d-r0p5-d64-m100,xfapf5wa,https://wandb.ai/maxence-frenette/chess-engine-4/runs/xfapf5wa,sweep,0.5,64,3,2048,8953,0.0027,0.0022,3.6425560735549944,0.2913573580693186,0,30.015759951,84357990850560,False
dense-lr32d-recipe-r0p5-d64,nvuzd7dy,https://wandb.ai/maxence-frenette/chess-engine-4/runs/nvuzd7dy,validation,0.5,64,3,2048,8953,0.0029,0.0022,3.6408146767586462,0.29075059496843175,0,49.073514712,84357990850560,False
dense-lr32d-r0p5-d128-m035,jtea4ocu,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jtea4ocu,sweep,0.5,128,4,4096,11942,0.0005949999999999999,0.0011,3.414112713377227,0.344930795306742,0,66.199862965,594263293116416,False
dense-lr32d-r0p5-d128-m050,b073bx38,https://wandb.ai/maxence-frenette/chess-engine-4/runs/b073bx38,sweep,0.5,128,4,4096,11942,0.00085,0.0011,3.4024477641860176,0.34861697852456247,0,71.645441248,594263293116416,True
dense-lr32d-r0p5-d128-m070,jy2xqmph,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jy2xqmph,sweep,0.5,128,4,4096,11942,0.0011899999999999999,0.0011,3.409753207520708,0.3488862275949064,0,62.60812863,594263293116416,False
dense-lr32d-r0p5-d128-m100,ww046gxv,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ww046gxv,sweep,0.5,128,4,4096,11942,0.0017,0.0011,3.414118518106856,0.3472240068658185,0,48.212141174,594263293116416,False
dense-lr32d-recipe-r0p5-d128,pogf6d7i,https://wandb.ai/maxence-frenette/chess-engine-4/runs/pogf6d7i,validation,0.5,128,4,4096,11942,0.0016,0.0011,3.4056801775448013,0.3483916554764561,0,79.422974264,594263293116416,False
dense-lr32d-r0p5-d256-m050,htk16q2o,https://wandb.ai/maxence-frenette/chess-engine-4/runs/htk16q2o,sweep,0.5,256,5,8192,19136,0.0005,0.00046,3.168531507296671,0.4103211770437801,0,237.881205633,6028343451320320,False
dense-lr32d-r0p5-d256-m070,f287rgtv,https://wandb.ai/maxence-frenette/chess-engine-4/runs/f287rgtv,sweep,0.5,256,5,8192,19136,0.0007000000000000001,0.00046,3.1618198516633473,0.4127636324133133,0,211.115340155,6028343451320320,False
dense-lr32d-r0p5-d256-m100,y2ckc0de,https://wandb.ai/maxence-frenette/chess-engine-4/runs/y2ckc0de,sweep,0.5,256,5,8192,19136,0.001,0.00046,3.1602674582194825,0.41291075064395566,0,122.697900485,6028343451320320,False
