d_model,training_ratio,params,samples_seen,batch_size,steps,flops_per_sample,lr,loss,policy_top1,loss_spike_count,wandb_url,source
32,0.1,318496,1592320,1024,1555,2007006,0.01792,4.983552026653555,0.150702436839359,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/418gqsdy,prior-selected-b32d
32,0.2,318496,3184640,1024,3110,2007006,0.0094,4.1938720909175435,0.2006001039559256,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/05b859l9,prior-selected-b32d
32,0.5,318496,7962624,1024,7776,2007006,0.0039,3.857117903316467,0.24535397777849677,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jrp2q8at,prior-selected-b32d
32,1.0,318496,15925248,1024,15552,2007006,0.0027409018434213575,3.7719064949839423,0.259532950463238,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ppp6ody1,prior-selected-b32d
64,0.1,733408,3667968,2048,1791,4600740,0.0088,4.699050405502729,0.18705868163031733,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/amf11yb7,prior-selected-b32d
64,0.2,733408,7333888,2048,3581,4600740,0.004,3.9647239001527206,0.24976604247661136,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/l3lwxdvw,prior-selected-b32d
64,0.5,733408,18335744,2048,8953,4600740,0.00189,3.6387977348890743,0.29177565246853343,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6gc3d7y4,prior-selected-b32d
64,1.0,733408,36669440,2048,17905,4600740,0.0014804411507601302,3.553675114383534,0.31181352561086695,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/k0m2hvdi,prior-selected-b32d
128,0.1,1956512,9781248,4096,2388,12149038,0.00196,4.148238274266154,0.2502710778804848,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/f6z8w9e2,prior-selected-b32d
128,0.2,1956512,19566592,4096,4777,12149038,0.00115,3.600797910944846,0.31068421380311717,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/x8xk6wj9,prior-selected-b32d
128,0.5,1956512,48914432,4096,11942,12149038,0.00085,3.4024477641860176,0.34861697852456247,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/b073bx38,prior-selected-b32d
128,1.0,1956512,97824768,4096,23883,12149038,0.0007,3.3294415561764774,0.3661413780534643,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/2vp8gpbs,new-grid
256,0.1,6270624,31350784,8192,3827,38455360,0.001,3.5635561991483637,0.33056720951692353,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/55gubwxk,prior-selected-b32d
256,0.2,6270624,62709760,8192,7655,38455360,0.00096,3.30578255726161,0.3745033533327211,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/tlkib3fr,prior-selected-b32d
256,0.5,6270624,156762112,8192,19136,38455360,0.00089,3.158220625303896,0.4134680958897275,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ww1di2gn,prior-selected-b32d
256,1.0,6270624,313532416,8192,38273,38455360,0.0003,3.1052537728159315,0.42671641704495566,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/28fdjbd0,new-grid
512,0.1,20403616,102023168,16384,6227,124092000,0.00053,3.2348446779094524,0.3978381247162338,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4vh9e6mu,new-grid
512,0.2,20403616,204029952,16384,12453,124092000,0.00034,3.10623046845019,0.43062986952572185,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/w53iuy0q,new-grid
512,0.5,20403616,510083072,16384,31133,124092000,0.00019,3.000696759335076,0.4590306714347458,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lswca3ir,new-grid
1024,0.05,84846496,212107264,32768,6473,512445090,0.00028,3.104354696082173,0.43537535016939743,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ulozv1h3,new-grid
1024,0.1,84846496,424247296,32768,12947,512445090,0.00018,2.996431673237479,0.4628569144307202,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/l8sl77ms,new-grid
1024,0.2,84846496,848461824,32768,25893,512445090,0.00012,2.9205494556242813,0.4868308696517685,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/bb2ts3z3,new-grid
2048,0.01,371019680,185532416,65536,2831,2232894244,0.00026,3.534023113325579,0.38364863634846513,0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qvu95k0g,new-grid
