run_name,width,training_ratio,batch_size,steps,lr,loss,policy_top1,loss_spike_count,eg_flops,runtime_sec,cost_dollars,wandb_url
dense-minsteps-horizon-d1024-s16000-b32,1024,0.0953124162293,32768,16000,0.00016,2.932260826,0.485685294,0,0.869255,377.672,0.695219,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lxppe295
dense-minsteps-horizon-d1024-s4000-b16,1024,0.0238281040573,16384,8000,0.000481,3.070649700,0.441803148,5,0.398171,118.744,0.218584,https://wandb.ai/maxence-frenette/chess-engine-4/runs/uztso817
dense-minsteps-horizon-d1024-s4000-b32,1024,0.0238281040573,32768,4000,0.00037,3.101938039,0.435157893,0,0.261810,107.800,0.198439,https://wandb.ai/maxence-frenette/chess-engine-4/runs/nrlz0eh9
dense-minsteps-horizon-d1024-s8000-b32,1024,0.0476562081147,32768,8000,0.00024,3.001162419,0.461920107,0,0.550056,193.515,0.356222,https://wandb.ai/maxence-frenette/chess-engine-4/runs/aru8mnvb
dense-minsteps-horizon-d128-s1000-b16,128,0.0298605512258,2048,2000,0.00425,3.818713302,0.262083579,0,0.645909,12.419,0.011758,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jpmroveb
dense-minsteps-horizon-d128-s1000-b32,128,0.0298605512258,4096,1000,0.005,3.948068693,0.228850883,0,0.304879,5.667,0.005366,https://wandb.ai/maxence-frenette/chess-engine-4/runs/g89nhjjc
dense-minsteps-horizon-d128-s2000-b16,128,0.0597211024516,2048,4000,0.00272,3.650090246,0.285224755,0,0.965902,14.861,0.014070,https://wandb.ai/maxence-frenette/chess-engine-4/runs/unzsw2yo
dense-minsteps-horizon-d128-s2000-b32,128,0.0597211024516,4096,2000,0.0032,3.695379090,0.285577740,0,0.709146,9.218,0.008728,https://wandb.ai/maxence-frenette/chess-engine-4/runs/7yrcf72a
dense-minsteps-horizon-d128-s4000-b16,128,0.119442204903,2048,8000,0.001785,3.492269514,0.325156688,0,1.569687,24.899,0.023574,https://wandb.ai/maxence-frenette/chess-engine-4/runs/gwl6e7ff
dense-minsteps-horizon-d128-s4000-b32,128,0.119442204903,4096,4000,0.0021,3.499964389,0.324146796,0,1.475912,16.279,0.015413,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mrfka0y4
dense-minsteps-horizon-d128-s8000-b32,128,0.238884409806,4096,8000,0.0013,3.386458711,0.350149081,0,1.926449,28.950,0.027410,https://wandb.ai/maxence-frenette/chess-engine-4/runs/hmx7wqtt
dense-minsteps-horizon-d512-s1000-b16,512,0.0109803232607,8192,2000,0.0016,3.636714408,0.294961988,0,0.049524,15.211,0.028001,https://wandb.ai/maxence-frenette/chess-engine-4/runs/r0jbuuna
dense-minsteps-horizon-d512-s1000-b32,512,0.0109803232607,16384,1000,0.0016,3.791660039,0.252849255,0,0.017806,16.793,0.030913,https://wandb.ai/maxence-frenette/chess-engine-4/runs/i5vojlpk
dense-minsteps-horizon-d512-s16000-b32,512,0.175685172171,16384,16000,0.00028,3.012039406,0.458225561,0,1.707389,128.707,0.236924,https://wandb.ai/maxence-frenette/chess-engine-4/runs/i2wrij2w
dense-minsteps-horizon-d512-s2000-b16,512,0.0219606465214,8192,4000,0.001,3.383810563,0.360826490,0,0.184237,25.078,0.046164,https://wandb.ai/maxence-frenette/chess-engine-4/runs/24j03p7d
dense-minsteps-horizon-d512-s2000-b32,512,0.0219606465214,16384,2000,0.001,3.424857216,0.351222291,0,0.128384,17.418,0.032063,https://wandb.ai/maxence-frenette/chess-engine-4/runs/d55wrfqh
dense-minsteps-horizon-d512-s4000-b16,512,0.0439212930429,8192,8000,0.00067,3.216132284,0.401719776,0,0.488547,35.072,0.064561,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vownv252
dense-minsteps-horizon-d512-s4000-b32,512,0.0439212930429,16384,4000,0.00067,3.230401213,0.403173362,0,0.417963,55.144,0.101510,https://wandb.ai/maxence-frenette/chess-engine-4/runs/p3nybh8v
dense-minsteps-horizon-d512-s8000-b32,512,0.0878425860857,16384,8000,0.00043,3.102379551,0.433039199,0,0.955505,64.701,0.119102,https://wandb.ai/maxence-frenette/chess-engine-4/runs/f4r7afar
dense-minsteps-horizon-d768-s16000-b16,768,0.123580752298,12288,32000,0.00023,2.923535578,0.484250102,1,2.343160,327.160,0.602237,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dtgjtncu
dense-minsteps-horizon-d768-s16000-b32,768,0.123580752298,24576,16000,0.0002,2.963986282,0.469938806,0,1.154150,210.391,0.387288,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3y2ltbke
dense-minsteps-horizon-d768-s8000-b16,768,0.0617903761489,12288,16000,0.0003565,3.013364786,0.462991900,0,1.049133,136.169,0.250659,https://wandb.ai/maxence-frenette/chess-engine-4/runs/unhc161t
dense-minsteps-horizon-d768-s8000-b32,768,0.0617903761489,24576,8000,0.00031,3.044460459,0.452989323,0,0.662242,115.270,0.212190,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wbo544bk
dense-minsteps-lr16d-d1024-m070,1024,0.0476562081147,16384,16000,0.000168,2.989363486,0.466378359,0,0.662425,206.723,0.380535,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jn6sw8nc
dense-minsteps-lr16d-d1024-m085,1024,0.0476562081147,16384,16000,0.000204,2.975337082,0.469589453,0,0.830931,201.463,0.370853,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3kuquqdz
dense-minsteps-lr16d-d1024-m100,1024,0.0476562081147,16384,16000,0.00024,2.965316731,0.477666242,0,0.980835,219.927,0.404841,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wydoio0c
dense-minsteps-lr16d-d1024-m115,1024,0.0476562081147,16384,16000,0.000276,2.959300442,0.474848617,0,1.085322,212.336,0.390869,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qzjcw85n
dense-minsteps-lr16d-d1024-m130,1024,0.0476562081147,16384,16000,0.000312,2.955694066,0.474764762,0,1.153920,205.873,0.378970,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0bk74hfy
dense-minsteps-lr16d-d1024-m150,1024,0.0476562081147,16384,16000,0.00036,2.952899668,0.478665945,2,1.210426,210.335,0.387184,https://wandb.ai/maxence-frenette/chess-engine-4/runs/nerci3w5
dense-minsteps-lr16d-d1024-m170,1024,0.0476562081147,16384,16000,0.000408,2.952036622,0.477873164,1,1.228501,209.242,0.385172,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dk10o3q3
dense-minsteps-lr16d-d128-m055,128,0.238884409806,2048,16000,0.000715,3.383537882,0.357853297,0,1.977680,47.526,0.044997,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fgqnhlzy
dense-minsteps-lr16d-d128-m070,128,0.238884409806,2048,16000,0.00091,3.382420312,0.355924060,0,1.997685,49.075,0.046464,https://wandb.ai/maxence-frenette/chess-engine-4/runs/8g37trny
dense-minsteps-lr16d-d128-m085,128,0.238884409806,2048,16000,0.001105,3.368697137,0.360209883,0,2.262799,45.884,0.043443,https://wandb.ai/maxence-frenette/chess-engine-4/runs/kgjibveh
dense-minsteps-lr16d-d128-m100,128,0.238884409806,2048,16000,0.0013,3.383797884,0.356376591,0,1.973058,46.002,0.043555,https://wandb.ai/maxence-frenette/chess-engine-4/runs/gnh08665
dense-minsteps-lr16d-d128-m115,128,0.238884409806,2048,16000,0.001495,3.389995303,0.352679087,0,1.866400,52.118,0.049345,https://wandb.ai/maxence-frenette/chess-engine-4/runs/z8rt5pev
dense-minsteps-lr16d-d512-m055,512,0.0878425860857,8192,16000,0.0002365,3.107473854,0.436690986,0,0.894280,79.952,0.147175,https://wandb.ai/maxence-frenette/chess-engine-4/runs/q3ptkwwo
dense-minsteps-lr16d-d512-m070,512,0.0878425860857,8192,16000,0.000301,3.097570692,0.434060624,0,1.017647,123.459,0.227263,https://wandb.ai/maxence-frenette/chess-engine-4/runs/u642pqui
dense-minsteps-lr16d-d512-m085,512,0.0878425860857,8192,16000,0.0003655,3.091172049,0.437798112,0,1.107487,74.878,0.137836,https://wandb.ai/maxence-frenette/chess-engine-4/runs/8s1bhc5n
dense-minsteps-lr16d-d512-m100,512,0.0878425860857,8192,16000,0.00043,3.088960714,0.445613853,0,1.140579,74.749,0.137597,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lq0gwr2b
dense-minsteps-lr16d-d512-m115,512,0.0878425860857,8192,16000,0.0004945,3.085720839,0.444934093,1,1.191087,77.141,0.142002,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5fkybptz
dense-minsteps-lr16d-d1280-m115,1280,0.0698120891268,24576,24000,0.000161,2.876797154,0.501328632,1,1.455000,606.602,1.116634,https://wandb.ai/maxence-frenette/chess-engine-4/runs/00223dis
dense-minsteps-lr16d-d1280-m130,1280,0.0698120891268,24576,24000,0.000182,2.867957913,0.503626997,0,1.746000,598.539,1.101790,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mp297yl0
dense-minsteps-lr16d-d1280-m130-exact,1280,0.0490575349387,20480,20238,0.000221,2.894608467,0.494326056,2,1.340000,454.622,0.836869,https://wandb.ai/maxence-frenette/uncategorized/runs/06ai7vtr
