optimizer,width,lr_multiplier,lr,loss,loss_spike_count,eg_flops,runtime_sec,cost_dollars,wandb_url
adamw,256,0.5,0.0006375,3.388803454,0,1.035,24.447320,0.023147,https://wandb.ai/maxence-frenette/chess-engine-4/runs/h2a10avr
adamw,256,0.625,0.000796875,3.383249369,0,1.067,60.933194,0.057692,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6nhqhoe5
adamw,256,0.75,0.00095625,3.385383581,0,1.054,21.998755,0.020828,https://wandb.ai/maxence-frenette/chess-engine-4/runs/i46si0a1
adamw,256,1.0,0.001275,3.409629203,0,0.926,23.842348,0.022574,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ufjguuuy
adamw,256,1.25,0.00159375,3.424758922,0,0.855,47.583263,0.045052,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6s6o3f06
adamw,256,1.5,0.0019125,3.426350006,0,0.848,22.191894,0.021011,https://wandb.ai/maxence-frenette/chess-engine-4/runs/h828vgrr
batched_muon,256,1.0,0.001275,3.337753739,0,1.377,32.283404,0.030565,https://wandb.ai/maxence-frenette/uncategorized/runs/nfo80tar
adamw,768,1.0,0.00033,3.033530889,0,1.120,147.712760,0.271910,https://wandb.ai/maxence-frenette/chess-engine-4/runs/gk7to9xk
batched_muon,768,0.25,0.0000825,3.230158867,0,0.312,152.286111,0.280328,https://wandb.ai/maxence-frenette/chess-engine-4/runs/4rwcl267
batched_muon,768,0.5,0.000165,3.100163254,0,0.701,158.170203,0.291160,https://wandb.ai/maxence-frenette/chess-engine-4/runs/58gx4z2b
batched_muon,768,0.75,0.0002475,3.040615838,0,1.064,133.727389,0.246165,https://wandb.ai/maxence-frenette/chess-engine-4/runs/wzbj17wh
batched_muon,768,0.875,0.00028875,3.022535142,1,1.216,139.097576,0.256051,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jdkqzxdg
batched_muon,768,1.0,0.00033,3.010074016,2,1.336,154.838646,0.285027,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ytz7xg3n
